Team;TS%;eFG%;Total S%;ORB%;DRB%;TRB%;AST%;TOV%;STL%;BLK%;PPS;FIC40;ORtg;DRtg;eDiff;Poss;Pace;Season
Minnesota;.573;.539;159.3;24.4;74.9;49.0;61.7;12.4;8.7;11.2;1.3;74.5;114.3;111.7;2.6;8316.2;100.9;2021-2022
Toronto;.543;.510;155.2;28.4;75.6;50.7;54.3;11.0;9.3;9.3;1.2;69.1;112.9;110.6;2.4;7943.4;96.0;2021-2022
Denver;.590;.556;163.1;21.9;78.3;51.0;66.7;13.2;7.4;7.0;1.3;74.3;114.5;112.2;2.3;8073.0;97.8;2021-2022
Cleveland;.571;.538;158.4;24.0;76.5;50.8;63.4;13.2;7.3;7.7;1.3;70.7;111.9;109.7;2.2;7898.8;96.1;2021-2022
Atlanta;.581;.543;165.6;23.0;76.9;50.1;59.3;10.8;7.3;7.9;1.3;74.6;116.5;114.9;1.6;8017.7;97.7;2021-2022
Brooklyn;.576;.540;164.1;23.9;75.1;50.2;60.2;12.5;7.1;10.1;1.3;73.0;113.6;112.8;0.8;8150.4;99.0;2021-2022
Charlotte;.572;.544;157.4;23.3;74.8;48.7;65.6;11.6;8.5;9.5;1.3;77.0;114.2;113.7;0.4;8284.2;100.0;2021-2022
San Antonio;.556;.527;157.3;23.7;75.1;49.2;64.6;11.1;7.6;8.5;1.2;75.7;112.4;112.3;0.1;8254.5;100.0;2021-2022
L.A. Clippers;.564;.531;162.4;20.6;74.4;48.3;59.9;12.5;7.5;8.7;1.2;69.7;110.1;110.1;0.0;8075.0;98.0;2021-2022
New York;.550;.513;153.8;25.1;78.8;51.4;58.1;12.0;7.2;9.9;1.2;66.7;110.4;110.6;-0.1;7906.0;95.9;2021-2022
Chicago;.579;.541;166.2;20.4;78.3;49.5;57.2;11.8;7.2;7.4;1.3;70.8;113.3;113.7;-0.4;8080.8;98.3;2021-2022
New Orleans;.557;.517;157.8;26.9;78.2;52.0;62.1;12.5;8.5;8.0;1.2;70.5;112.0;113.0;-1.0;8003.3;97.2;2021-2022
L.A. Lakers;.567;.537;154.9;21.1;75.8;48.6;57.6;12.8;7.5;9.5;1.3;69.4;110.3;113.3;-3.0;8333.7;100.1;2021-2022
Washington;.568;.532;159.7;20.9;76.9;49.4;61.7;12.1;6.5;8.7;1.3;69.8;111.1;114.6;-3.5;8014.7;97.0;2021-2022
Indiana;.564;.531;157.5;25.5;76.2;50.4;61.2;12.7;7.2;10.0;1.2;70.5;112.6;116.1;-3.5;8116.2;98.0;2021-2022
Sacramento;.561;.525;157.2;21.3;76.0;48.4;58.5;12.5;7.2;8.1;1.3;67.8;109.9;115.3;-5.4;8230.8;99.7;2021-2022
Detroit;.533;.494;153.9;23.4;75.6;48.2;61.5;12.6;7.8;9.0;1.2;62.9;106.1;113.9;-7.8;8105.1;98.3;2021-2022
Orlando;.538;.503;155.1;19.8;77.2;48.4;62.0;13.0;6.8;8.5;1.2;63.7;104.5;112.5;-8.0;8177.4;99.2;2021-2022
Oklahoma City;.530;.497;150.8;21.8;76.1;48.5;58.0;12.5;7.7;8.9;1.2;64.3;104.6;112.8;-8.2;8130.4;98.5;2021-2022
Houston;.565;.534;151.8;21.7;74.4;47.9;59.8;14.5;7.3;8.7;1.3;65.1;108.4;116.7;-8.4;8301.6;100.9;2021-2022
Portland;.550;.515;154.8;22.9;76.9;48.9;59.5;13.0;8.1;9.2;1.2;64.8;107.9;116.9;-9.0;8075.0;98.2;2021-2022
Utah;.597;.563;165.6;24.5;79.3;53.1;57.3;12.7;6.6;8.7;1.3;77.2;117.6;108.3;9.3;7125.7;98.5;2020-2021
L.A. Clippers;.599;.564;173.2;22.7;79.1;51.7;58.4;12.2;7.3;7.6;1.3;75.0;117.6;111.2;6.4;6980.1;96.9;2020-2021
Phoenix;.597;.564;170.2;20.8;78.5;50.1;62.2;11.5;7.3;8.0;1.3;76.5;117.2;111.3;5.9;7082.1;97.2;2020-2021
Milwaukee;.593;.566;163.6;23.3;79.7;52.6;56.9;12.0;7.9;8.5;1.3;81.2;117.2;111.4;5.7;7380.3;102.2;2020-2021
Philadelphia;.579;.541;161.8;23.2;78.2;51.2;57.2;12.8;9.0;11.5;1.3;74.1;113.2;107.6;5.6;7227.9;99.5;2020-2021
Denver;.588;.557;166.4;24.7;78.9;51.9;62.1;12.1;8.2;9.0;1.3;76.8;117.1;112.1;5.0;7072.6;97.1;2020-2021
Brooklyn;.610;.575;169.0;21.4;77.3;50.8;62.1;12.2;6.7;9.6;1.4;79.3;118.3;113.8;4.5;7216.6;99.5;2020-2021
L.A. Lakers;.569;.536;156.5;22.5;79.7;51.3;60.7;13.6;7.8;9.9;1.3;70.0;109.9;107.1;2.8;7176.0;98.7;2020-2021
New York;.559;.524;163.2;21.9;78.6;50.6;54.3;11.9;7.3;10.0;1.2;66.9;110.6;108.2;2.4;6967.4;95.9;2020-2021
Atlanta;.581;.539;165.2;24.4;77.8;51.7;59.1;11.9;7.1;8.6;1.3;73.6;115.7;113.3;2.4;7075.7;97.6;2020-2021
Dallas;.582;.550;161.1;21.1;77.8;49.6;55.7;11.1;6.4;8.3;1.3;71.1;115.4;113.0;2.3;7017.7;97.3;2020-2021
Portland;.577;.540;166.1;23.0;77.5;49.5;51.5;9.9;7.0;9.4;1.3;73.6;117.8;116.0;1.8;7095.6;98.4;2020-2021
Boston;.574;.543;161.6;24.3;78.1;51.0;56.6;12.5;7.8;10.3;1.3;71.4;114.0;112.5;1.5;7115.2;98.3;2020-2021
Golden State;.583;.551;162.9;17.9;76.6;47.6;67.0;13.3;8.0;8.7;1.3;74.0;111.1;110.1;1.0;7368.3;102.2;2020-2021
Memphis;.560;.528;159.3;24.2;78.3;51.0;62.8;11.6;9.0;9.4;1.2;76.5;112.0;111.0;1.0;7280.3;100.4;2020-2021
Miami;.581;.546;161.6;19.4;77.9;49.2;67.1;13.1;8.1;8.6;1.3;70.5;111.2;111.2;0.0;6997.1;96.6;2020-2021
Indiana;.575;.542;163.0;20.2;74.9;47.7;63.3;11.9;8.3;10.7;1.3;75.9;112.4;112.4;0.0;7385.7;101.6;2020-2021
New Orleans;.570;.537;155.4;26.3;80.0;53.1;61.2;12.7;7.5;8.5;1.3;75.1;113.5;113.8;-0.3;7268.6;100.1;2020-2021
Toronto;.567;.529;163.1;20.8;76.3;47.6;60.7;11.9;8.7;11.2;1.3;70.4;112.0;112.5;-0.5;7150.5;99.2;2020-2021
Chicago;.575;.547;163.6;22.3;80.3;51.6;63.5;13.6;6.7;7.6;1.2;72.0;111.1;112.0;-0.9;7170.5;99.0;2020-2021
San Antonio;.554;.517;160.4;20.0;77.3;48.1;58.4;10.2;7.0;8.9;1.2;71.1;111.0;112.8;-1.7;7203.1;98.9;2020-2021
