Team;TS%;eFG%;Total S%;ORB%;DRB%;TRB%;AST%;TOV%;STL%;BLK%;PPS;FIC40;ORtg;DRtg;eDiff;Poss;Pace;Season
Brooklyn;.551;.514;156.9;21.0;77.0;48.7;61.9;13.7;6.3;7.3;1.2;64.3;106.7;110.4;-3.7;8192.1;99.0;2017-2018
Orlando;.545;.512;156.0;20.0;75.6;47.6;60.4;13.3;7.7;8.1;1.2;63.6;105.2;110.1;-4.9;8059.3;98.0;2017-2018
Atlanta;.547;.512;159.1;21.1;76.2;48.7;62.2;14.4;7.9;7.6;1.2;62.7;104.7;110.2;-5.5;8096.5;98.6;2017-2018
Memphis;.539;.500;158.2;22.4;76.5;48.8;58.6;14.2;7.9;9.4;1.2;57.5;104.1;110.6;-6.5;7822.9;95.3;2017-2018
Chicago;.529;.497;154.9;20.6;80.6;49.5;60.7;12.9;7.7;6.5;1.2;62.5;103.4;110.4;-7.1;8164.7;98.7;2017-2018
Sacramento;.529;.502;156.1;21.5;77.6;48.3;55.6;12.9;8.3;8.1;1.1;58.7;103.5;110.9;-7.3;7827.0;95.1;2017-2018
Phoenix;.532;.495;151.6;22.5;76.5;49.0;55.3;14.0;6.9;7.6;1.2;59.2;103.4;112.7;-9.3;8245.6;100.4;2017-2018
Golden State;.597;.563;166.6;22.8;74.9;50.5;70.5;13.2;9.5;11.0;1.3;83.0;115.6;104.0;11.6;8220.3;99.7;2016-2017
San Antonio;.564;.524;165.8;24.0;77.6;51.4;60.6;12.6;8.4;9.9;1.3;70.3;111.1;103.5;7.6;7774.1;94.2;2016-2017
Houston;.583;.545;158.5;24.6;75.8;50.2;62.6;13.3;8.1;7.2;1.3;73.5;114.8;109.0;5.7;8242.1;100.0;2016-2017
L.A. Clippers;.574;.537;159.5;21.5;76.9;49.9;57.0;12.1;7.7;7.2;1.3;68.4;112.7;108.2;4.5;7909.0;96.1;2016-2017
Toronto;.561;.517;162.4;25.0;76.3;50.7;47.2;11.8;8.6;8.8;1.3;64.6;112.3;107.8;4.4;7804.5;94.7;2016-2017
Utah;.563;.526;158.4;23.2;78.9;51.8;54.4;13.2;7.3;8.5;1.3;63.2;109.6;105.3;4.3;7535.9;91.6;2016-2017
Cleveland;.580;.547;160.2;21.9;75.8;49.7;56.7;12.6;6.8;6.6;1.3;68.9;113.6;110.3;3.3;7965.2;96.2;2016-2017
Boston;.567;.525;162.0;21.2;75.3;48.5;65.3;12.2;7.7;7.1;1.3;68.6;111.2;108.5;2.7;7966.2;96.8;2016-2017
Washington;.564;.528;163.1;24.1;75.5;49.9;57.7;12.8;8.6;7.1;1.3;67.7;111.2;109.3;1.8;8053.5;97.3;2016-2017
Miami;.541;.512;152.6;24.2;76.4;50.0;54.4;12.3;7.5;9.3;1.2;63.5;107.8;106.7;1.1;7846.0;95.2;2016-2017
Oklahoma City;.540;.500;152.4;27.9;79.0;53.4;53.2;13.2;8.0;8.2;1.2;64.4;108.3;107.5;0.8;8071.3;97.8;2016-2017
Memphis;.535;.491;157.3;24.8;77.5;50.4;58.4;12.1;8.5;8.3;1.2;60.2;107.7;107.2;0.5;7651.3;92.3;2016-2017
Denver;.568;.530;161.1;27.3;78.7;53.2;61.5;13.2;7.0;6.3;1.3;71.6;113.2;112.7;0.5;8090.3;98.3;2016-2017
Chicago;.530;.487;158.2;27.0;76.8;51.7;58.4;12.3;8.2;7.9;1.2;66.0;107.4;107.0;0.4;7852.2;95.3;2016-2017
Charlotte;.547;.501;160.8;19.9;79.6;49.5;61.1;10.7;7.2;8.6;1.2;67.7;108.8;108.6;0.2;7905.0;95.7;2016-2017
Milwaukee;.565;.527;161.2;21.5;75.4;48.8;62.4;13.2;8.5;9.7;1.3;66.2;109.1;109.3;-0.2;7787.7;94.5;2016-2017
Indiana;.558;.516;165.1;21.2;75.5;48.7;57.2;12.7;8.4;9.0;1.2;65.5;108.6;108.9;-0.2;7932.1;95.9;2016-2017
Portland;.559;.520;161.4;23.0;76.8;49.8;53.4;12.4;7.1;8.1;1.3;64.7;110.3;110.8;-0.5;8027.2;96.7;2016-2017
Atlanta;.541;.504;152.0;23.6;76.1;50.3;62.1;14.2;8.3;8.5;1.2;64.5;104.9;105.8;-0.9;8064.7;97.4;2016-2017
Minnesota;.555;.511;161.5;27.2;75.9;51.2;60.0;12.8;8.4;8.0;1.3;66.2;110.9;112.0;-1.2;7808.2;94.6;2016-2017
Detroit;.521;.492;149.7;24.1;81.2;51.6;53.0;10.9;7.3;6.6;1.1;62.6;106.0;107.2;-1.2;7837.9;95.0;2016-2017
New Orleans;.539;.504;155.0;18.5;76.8;47.5;58.2;11.7;7.9;9.3;1.2;65.8;105.2;107.4;-2.1;8129.7;98.0;2016-2017
Dallas;.541;.505;159.6;18.1;77.5;46.4;57.4;11.6;8.1;7.0;1.2;58.7;105.6;108.8;-3.2;7600.1;92.2;2016-2017
New York;.534;.496;158.3;26.6;74.1;50.3;55.1;12.4;7.3;9.4;1.2;63.9;107.7;111.5;-3.8;7940.8;96.0;2016-2017
Sacramento;.556;.516;161.2;21.0;76.3;48.9;59.4;13.7;8.0;7.4;1.3;61.7;107.3;111.4;-4.0;7856.0;94.8;2016-2017
Phoenix;.538;.493;155.8;26.0;76.4;50.5;49.1;13.3;8.1;8.1;1.2;60.3;106.6;112.2;-5.6;8284.3;100.3;2016-2017
Philadelphia;.539;.501;155.3;22.4;75.3;48.8;63.1;14.9;8.5;8.4;1.2;61.7;103.2;109.0;-5.7;8137.8;98.5;2016-2017
Brooklyn;.551;.507;157.1;19.6;76.1;48.2;56.6;14.7;7.1;7.4;1.2;61.5;104.1;110.7;-6.6;8333.3;101.2;2016-2017
Orlando;.524;.489;151.5;21.6;77.4;48.7;58.0;12.1;7.3;8.0;1.2;61.1;103.7;110.5;-6.7;7990.7;96.8;2016-2017
L.A. Lakers;.537;.501;155.0;25.0;75.8;49.5;53.2;13.5;8.3;6.7;1.2;61.3;106.0;113.0;-7.0;8087.7;98.5;2016-2017
San Antonio;.564;.526;166.2;23.0;79.1;52.0;61.1;12.4;8.8;9.6;1.2;71.5;110.3;99.0;11.3;7697.9;93.8;2015-2016
Golden State;.593;.563;166.6;23.5;76.0;51.3;68.0;13.5;8.3;9.2;1.3;79.4;114.5;103.8;10.7;8228.3;99.3;2015-2016
Oklahoma City;.565;.524;160.7;31.1;76.0;54.7;55.8;14.0;7.5;9.3;1.3;70.9;113.1;105.6;7.5;7989.7;96.7;2015-2016
Cleveland;.558;.524;157.1;25.1;78.5;52.0;58.7;12.7;7.1;6.5;1.2;65.1;110.9;104.5;6.4;7716.0;93.3;2015-2016
Toronto;.552;.504;159.8;24.6;77.7;51.6;51.1;12.3;8.3;9.3;1.3;62.9;110.0;105.2;4.8;7655.1;92.9;2015-2016
L.A. Clippers;.556;.524;152.1;20.1;73.8;47.4;59.6;12.1;8.9;9.1;1.3;66.2;108.3;103.8;4.4;7914.8;95.8;2015-2016
Atlanta;.552;.516;159.1;19.1;74.6;47.5;66.3;13.8;9.3;9.6;1.2;67.7;105.1;101.4;3.7;8025.4;97.1;2015-2016
Boston;.531;.488;156.2;25.1;74.6;49.4;61.6;12.1;9.3;6.9;1.2;65.9;106.8;103.6;3.2;8115.3;98.5;2015-2016
Charlotte;.545;.502;159.1;20.0;79.8;49.6;58.6;11.7;7.5;9.0;1.2;65.3;107.1;104.3;2.8;7914.0;95.7;2015-2016
Utah;.540;.501;154.7;25.9;77.7;51.9;52.6;14.2;8.3;9.0;1.2;58.1;105.9;103.9;1.9;7565.6;91.0;2015-2016
Indiana;.536;.497;156.5;23.4;76.0;49.8;55.4;13.5;9.3;7.9;1.2;62.4;104.6;102.9;1.7;8005.0;96.6;2015-2016
Miami;.545;.508;155.1;23.8;77.8;51.7;54.3;13.3;7.1;10.3;1.2;63.3;106.1;104.4;1.7;7731.6;93.6;2015-2016
Portland;.548;.511;157.4;25.9;76.2;51.0;55.2;13.2;7.1;7.5;1.2;63.3;108.8;108.0;0.9;7921.1;96.0;2015-2016
Detroit;.522;.491;145.1;27.0;79.3;52.1;51.2;12.2;7.3;5.8;1.2;59.8;106.1;105.5;0.6;7877.6;95.1;2015-2016
Houston;.553;.516;149.3;25.7;72.8;49.1;58.9;14.2;10.2;9.0;1.3;65.1;108.3;108.1;0.2;8066.3;97.6;2015-2016
Dallas;.544;.502;158.2;20.6;76.2;48.5;59.2;12.0;7.1;6.4;1.2;62.0;106.7;107.0;-0.3;7860.1;94.3;2015-2016
Washington;.544;.511;154.8;20.6;77.7;48.6;61.9;13.1;8.8;6.6;1.2;64.0;105.3;105.8;-0.5;8104.4;98.5;2015-2016
Chicago;.526;.487;160.0;24.5;74.9;50.2;59.1;12.6;6.2;8.6;1.2;63.4;105.0;106.5;-1.5;7940.3;95.7;2015-2016
Orlando;.533;.500;156.3;23.1;76.5;49.4;59.6;12.8;8.5;8.7;1.2;63.3;105.1;106.8;-1.7;7961.3;96.0;2015-2016
Memphis;.524;.477;155.4;25.3;75.1;49.1;56.2;12.3;9.4;8.2;1.2;58.5;105.4;107.8;-2.4;7707.1;93.3;2015-2016
Sacramento;.546;.510;154.7;23.9;74.9;49.6;61.2;14.2;8.9;7.5;1.2;65.9;106.0;108.4;-2.5;8248.2;100.0;2015-2016
New York;.527;.483;159.0;23.7;75.8;50.1;55.7;12.6;6.1;9.0;1.2;59.5;104.6;107.6;-2.9;7706.9;93.4;2015-2016
Denver;.531;.489;154.6;25.8;77.3;51.1;60.1;13.2;7.7;8.1;1.2;61.9;105.6;108.9;-3.2;7908.5;95.7;2015-2016
Minnesota;.549;.498;159.4;24.3;74.7;49.8;61.9;13.9;8.3;7.7;1.3;62.3;106.5;110.1;-3.7;7887.8;95.2;2015-2016
New Orleans;.537;.498;158.4;21.2;78.8;49.0;57.7;12.3;7.9;7.1;1.2;61.8;105.6;109.5;-3.9;7976.6;96.8;2015-2016
Milwaukee;.537;.499;155.8;24.9;73.1;49.2;60.3;14.2;8.6;10.2;1.2;61.5;104.3;108.7;-4.4;7786.2;94.2;2015-2016
Phoenix;.526;.487;153.4;25.4;77.1;50.6;55.8;15.2;7.8;6.5;1.2;56.8;102.2;109.0;-6.7;8089.2;98.5;2015-2016
Brooklyn;.527;.492;156.2;24.1;75.7;49.4;58.3;13.6;8.0;6.8;1.2;60.0;103.2;110.9;-7.7;7839.2;95.2;2015-2016
L.A. Lakers;.509;.460;151.2;23.1;74.7;48.0;51.3;12.5;7.6;6.7;1.1;53.9;101.6;111.6;-10.0;7857.9;95.6;2015-2016
Philadelphia;.519;.487;146.4;20.6;74.0;46.4;59.4;14.8;8.4;9.5;1.2;56.2;98.8;109.2;-10.4;8082.7;97.9;2015-2016
Golden State;.571;.540;164.4;24.1;74.5;50.1;65.9;13.1;9.4;9.3;1.3;76.0;111.6;101.3;10.2;8079.3;98.3;2014-2015
L.A. Clippers;.565;.533;155.8;22.8;75.7;49.8;62.9;11.6;8.2;8.5;1.3;69.6;112.4;105.5;6.9;7785.3;94.7;2014-2015
San Antonio;.555;.517;161.5;23.4;77.3;50.9;62.3;13.1;8.4;8.4;1.2;67.4;108.5;102.0;6.5;7796.7;93.8;2014-2015
Atlanta;.563;.527;162.4;21.4;73.4;48.2;67.6;13.5;9.7;8.1;1.3;68.4;108.9;103.1;5.8;7722.2;93.9;2014-2015
Cleveland;.557;.520;157.6;26.8;74.7;51.1;58.7;13.4;8.0;6.8;1.3;64.5;111.1;106.3;4.8;7609.7;92.3;2014-2015
Portland;.544;.508;161.3;24.2;76.2;50.7;56.7;12.6;6.7;6.7;1.2;64.6;108.2;103.7;4.5;7793.6;94.2;2014-2015
Houston;.548;.512;150.7;26.8;72.9;49.9;60.0;15.0;9.7;8.0;1.2;63.2;107.0;103.4;3.5;7967.2;96.5;2014-2015
Memphis;.531;.489;157.1;24.7;75.3;50.1;57.4;12.6;9.2;7.2;1.2;61.0;105.7;102.2;3.5;7626.6;92.0;2014-2015
Toronto;.553;.508;159.5;25.6;73.3;49.5;54.7;12.0;8.0;7.2;1.2;62.3;111.0;107.7;3.3;7679.9;92.8;2014-2015
Chicago;.536;.489;157.8;27.0;74.4;51.3;59.3;12.9;6.7;8.6;1.2;63.6;107.5;104.3;3.2;7685.2;92.8;2014-2015
Dallas;.550;.515;156.6;23.6;72.2;47.8;56.7;11.9;8.4;7.6;1.2;65.1;109.5;106.4;3.0;7882.7;95.2;2014-2015
Oklahoma City;.532;.492;154.1;28.9;75.6;52.6;52.8;13.1;7.6;9.0;1.2;62.8;107.8;105.5;2.3;7907.7;95.7;2014-2015
New Orleans;.537;.501;157.9;27.1;75.1;51.1;58.1;12.5;7.3;9.8;1.2;63.7;108.2;107.3;0.9;7529.5;91.4;2014-2015
Washington;.534;.499;156.5;24.9;77.3;51.7;62.7;14.0;7.7;7.6;1.2;61.7;103.7;103.0;0.8;7789.1;93.7;2014-2015
Milwaukee;.536;.499;157.9;25.4;73.3;49.5;62.7;15.5;10.1;8.6;1.2;60.0;102.7;102.2;0.4;7814.0;94.1;2014-2015
Indiana;.523;.484;154.7;24.0;77.9;51.2;58.6;13.1;6.6;7.4;1.2;58.2;103.5;103.2;0.3;7707.8;93.2;2014-2015
Utah;.531;.494;151.0;29.1;76.3;52.8;56.3;14.6;8.4;9.9;1.2;59.4;105.1;104.9;0.2;7420.1;90.4;2014-2015
Boston;.523;.489;152.4;24.7;75.0;49.5;62.9;12.5;8.5;5.7;1.2;62.1;104.7;104.5;0.2;7939.3;95.8;2014-2015
Phoenix;.537;.501;155.2;24.5;73.5;48.8;52.2;13.7;8.8;7.4;1.2;60.0;105.3;106.2;-0.9;7974.9;96.3;2014-2015
Detroit;.515;.482;147.9;27.7;75.0;50.4;58.2;12.3;8.1;7.6;1.1;60.8;105.3;106.4;-1.1;7668.1;92.8;2014-2015
Miami;.540;.500;153.2;23.2;73.4;48.8;56.4;14.4;8.6;8.0;1.2;55.7;103.9;106.8;-2.9;7471.7;90.9;2014-2015
Brooklyn;.529;.491;153.0;23.9;73.7;48.9;55.9;13.0;7.5;6.8;1.2;58.0;104.4;107.4;-3.1;7700.3;92.7;2014-2015
Charlotte;.498;.456;148.6;22.1;79.3;50.0;56.8;11.2;6.5;8.9;1.1;56.4;100.1;103.5;-3.4;7709.7;93.0;2014-2015
Denver;.518;.479;149.2;26.6;74.7;49.8;57.7;12.7;8.1;7.2;1.2;59.3;104.5;108.2;-3.7;7960.9;96.1;2014-2015
Sacramento;.542;.490;155.8;26.5;75.2;51.8;55.4;14.8;7.0;6.4;1.3;57.9;105.3;109.2;-3.9;7888.3;95.4;2014-2015
Orlando;.524;.494;152.9;23.1;76.0;49.0;55.0;14.0;8.4;6.5;1.2;55.9;101.6;107.7;-6.1;7724.7;93.8;2014-2015
L.A. Lakers;.513;.473;152.0;25.4;76.3;49.8;56.2;12.1;7.4;7.5;1.2;57.5;103.5;110.7;-7.2;7802.0;94.0;2014-2015
Minnesota;.517;.468;154.6;26.6;71.6;48.4;59.3;13.7;8.6;6.5;1.2;56.7;102.9;112.2;-9.3;7790.4;94.4;2014-2015
Philadelphia;.494;.459;140.4;25.5;73.0;48.1;60.9;16.0;10.0;9.9;1.1;52.8;95.5;104.8;-9.3;7899.2;95.7;2014-2015
New York;.508;.470;154.4;24.5;73.1;48.1;60.6;14.0;7.6;8.0;1.1;52.5;99.9;110.0;-10.1;7543.6;91.2;2014-2015
San Antonio;.571;.537;166.8;22.7;76.4;50.6;62.1;13.5;7.7;7.7;1.3;69.9;110.5;102.4;8.1;7818.0;95.0;2013-2014
L.A. Clippers;.567;.526;155.7;25.0;72.5;49.6;62.8;12.7;8.9;7.7;1.3;69.3;112.1;104.8;7.2;7897.6;95.9;2013-2014
Oklahoma City;.566;.520;163.8;26.5;75.6;52.2;56.2;14.0;8.6;10.3;1.3;66.7;110.5;103.9;6.6;7876.4;95.4;2013-2014
Miami;.590;.554;162.4;20.6;73.0;47.8;58.8;14.6;9.7;8.1;1.3;63.7;110.9;105.7;5.2;7555.8;91.2;2013-2014
Golden State;.550;.517;159.5;25.1;76.3;51.1;59.1;13.8;8.1;7.7;1.2;65.3;107.5;102.6;5.0;7950.6;96.2;2013-2014
Indiana;.535;.490;158.4;24.9;76.8;52.1;56.0;14.3;7.2;8.5;1.2;58.8;104.1;99.3;4.7;7622.2;92.5;2013-2014
Houston;.571;.531;154.1;27.4;74.1;52.1;56.3;14.6;7.8;8.7;1.3;66.7;111.0;106.3;4.7;7957.5;96.3;2013-2014
Portland;.548;.504;163.6;28.0;74.7;51.6;59.4;12.4;5.8;6.8;1.2;66.7;111.5;107.4;4.2;7847.9;94.9;2013-2014
Toronto;.545;.498;160.0;27.2;74.9;50.9;58.1;13.2;7.5;6.9;1.2;59.2;108.8;105.3;3.5;7635.3;91.8;2013-2014
Phoenix;.558;.519;159.4;26.4;73.7;50.1;49.3;14.0;8.7;7.2;1.3;61.7;109.5;106.7;2.7;7882.6;95.8;2013-2014
Minnesota;.535;.486;156.4;27.4;74.4;50.3;61.6;12.2;8.9;5.7;1.2;66.6;108.9;106.2;2.7;8051.3;97.3;2013-2014
Dallas;.564;.526;165.3;24.6;72.7;48.8;59.6;12.7;9.1;7.4;1.3;66.5;111.2;108.7;2.5;7729.1;93.5;2013-2014
Chicago;.518;.471;155.9;27.2;75.4;51.7;65.4;14.2;7.9;8.3;1.2;58.7;102.5;100.5;2.0;7491.9;90.2;2013-2014
Memphis;.529;.494;155.9;28.3;75.7;52.0;57.4;13.1;8.5;7.9;1.2;60.1;106.3;104.6;1.7;7415.0;89.9;2013-2014
Washington;.538;.506;156.9;25.2;75.7;50.0;60.1;13.6;8.6;7.7;1.2;61.3;106.0;104.6;1.3;7788.5;93.2;2013-2014
Charlotte;.522;.481;153.0;21.9;77.6;49.6;59.7;11.7;6.5;8.4;1.2;59.3;103.6;103.8;-0.2;7667.1;92.4;2013-2014
Atlanta;.554;.515;160.2;21.0;74.4;47.9;66.7;14.3;8.7;6.5;1.2;63.0;105.9;106.4;-0.5;7818.9;94.6;2013-2014
New York;.541;.505;158.3;25.1;74.3;49.0;54.2;12.5;8.5;8.2;1.2;58.1;108.3;109.1;-0.9;7467.4;90.3;2013-2014
Brooklyn;.555;.514;158.1;21.7;72.3;47.1;58.5;14.1;9.3;6.6;1.3;57.5;106.7;107.7;-1.1;7574.7;91.4;2013-2014
Denver;.536;.497;153.1;27.5;74.5;50.9;58.4;14.0;7.6;8.6;1.2;62.6;106.0;108.2;-2.2;8072.6;98.1;2013-2014
New Orleans;.537;.495;160.1;26.9;73.8;50.0;56.3;12.9;8.5;11.0;1.2;60.8;107.2;110.1;-2.9;7625.4;92.2;2013-2014
Sacramento;.532;.484;153.9;27.8;76.6;51.9;51.1;13.9;7.5;6.5;1.2;56.4;105.7;108.8;-3.1;7795.7;94.4;2013-2014
Cleveland;.518;.479;154.4;27.2;75.8;50.9;57.2;13.0;7.5;6.4;1.2;57.6;104.2;107.7;-3.5;7730.9;93.1;2013-2014
Detroit;.514;.482;143.8;31.4;73.4;51.4;53.9;12.9;8.8;8.0;1.2;60.8;105.9;109.7;-3.8;7823.5;94.9;2013-2014
Boston;.517;.477;154.5;27.4;74.2;50.1;57.6;14.2;7.6;6.7;1.1;55.4;102.9;107.7;-4.8;7670.1;93.3;2013-2014
Orlando;.525;.487;156.1;22.4;75.5;48.9;57.1;13.9;8.1;6.9;1.2;56.3;101.7;107.4;-5.7;7785.5;93.6;2013-2014
L.A. Lakers;.542;.505;158.8;20.2;71.0;45.6;63.9;13.7;7.6;8.1;1.2;63.3;104.2;110.6;-6.4;8101.8;98.7;2013-2014
Utah;.523;.484;153.4;25.5;74.5;49.2;56.4;13.9;7.6;7.3;1.2;55.0;103.5;111.3;-7.8;7530.2;91.4;2013-2014
Milwaukee;.519;.479;153.8;27.1;71.4;48.6;59.6;14.1;7.1;8.2;1.2;55.0;103.0;111.8;-8.8;7601.7;91.8;2013-2014
Philadelphia;.510;.475;145.7;24.8;72.4;47.7;57.6;14.8;9.4;6.6;1.1;55.6;99.4;109.9;-10.4;8202.9;99.2;2013-2014
Oklahoma City;.580;.527;168.6;26.7;73.4;51.7;56.1;14.4;8.8;12.0;1.3;69.0;112.4;102.6;9.8;7712.7;93.3;2012-2013
Miami;.588;.552;164.6;22.2;73.0;49.0;60.0;13.7;9.4;9.1;1.3;66.8;112.3;103.7;8.6;7510.8;90.7;2012-2013
L.A. Clippers;.557;.526;154.7;28.8;73.5;51.6;62.0;13.9;10.5;9.8;1.3;66.6;110.6;103.6;7.1;7492.8;91.1;2012-2013
San Antonio;.568;.531;164.8;20.5;74.9;49.3;64.1;14.0;8.9;8.1;1.3;68.2;108.3;101.6;6.7;7801.9;94.2;2012-2013
Denver;.549;.515;152.2;31.4;71.8;52.0;60.0;13.6;9.6;10.4;1.2;69.4;110.4;105.1;5.3;7884.6;95.1;2012-2013
New York;.550;.515;158.3;25.6;74.7;49.3;52.7;11.7;9.1;6.4;1.2;60.6;111.1;106.3;4.7;7380.5;89.8;2012-2013
Memphis;.514;.472;156.1;31.0;74.3;52.2;57.9;13.3;9.6;9.0;1.1;58.2;104.9;100.3;4.7;7298.3;88.4;2012-2013
Indiana;.521;.479;152.9;30.3;74.6;52.9;57.8;14.3;7.8;9.7;1.2;59.3;104.3;99.8;4.4;7360.5;90.2;2012-2013
Houston;.564;.525;158.0;26.4;75.2;51.0;60.9;14.9;8.6;6.9;1.3;65.5;109.7;106.1;3.6;7921.3;96.1;2012-2013
Brooklyn;.536;.498;153.8;30.9;73.7;52.2;56.7;14.0;8.2;7.5;1.2;59.4;108.2;106.2;2.0;7343.1;88.8;2012-2013
L.A. Lakers;.548;.512;150.5;27.0;74.3;51.2;59.8;13.9;7.4;7.9;1.3;64.7;107.8;106.6;1.2;7773.0;94.4;2012-2013
Golden State;.545;.506;165.1;25.4;75.5;51.3;58.9;14.0;7.2;6.8;1.2;62.0;106.4;105.5;0.9;7795.5;94.5;2012-2013
Atlanta;.546;.517;155.1;22.2;73.6;48.3;65.1;14.2;8.7;7.1;1.2;62.7;104.8;104.4;0.4;7663.4;92.6;2012-2013
Chicago;.512;.470;156.2;29.4;73.6;51.2;64.5;13.6;8.0;7.9;1.1;58.4;103.5;103.2;0.4;7382.4;89.3;2012-2013
Utah;.533;.492;158.4;28.8;73.2;50.7;61.0;13.8;9.2;10.2;1.2;61.5;106.7;106.8;-0.1;7531.6;90.9;2012-2013
Boston;.542;.503;159.9;20.1;73.3;47.5;61.4;14.1;8.8;7.3;1.2;57.7;103.1;103.3;-0.2;7583.1;91.7;2012-2013
Dallas;.544;.506;162.7;21.8;73.1;47.9;59.9;13.0;8.3;8.9;1.2;62.9;105.9;106.5;-0.6;7829.8;94.1;2012-2013
Milwaukee;.510;.476;153.0;27.9;71.3;48.8;60.0;12.7;8.7;10.1;1.1;62.7;103.6;105.2;-1.6;7823.7;94.7;2012-2013
Toronto;.532;.488;157.6;25.5;73.4;49.1;59.2;13.0;7.9;7.9;1.2;56.8;105.9;107.5;-1.6;7525.3;90.4;2012-2013
Minnesota;.516;.473;148.6;27.4;74.0;49.9;62.4;13.8;9.2;7.6;1.2;59.2;102.9;105.4;-2.5;7632.2;92.8;2012-2013
Washington;.512;.475;153.2;24.6;74.6;49.4;61.0;14.2;7.9;7.5;1.1;55.6;100.2;103.0;-2.7;7625.2;92.2;2012-2013
Portland;.536;.498;157.8;25.3;73.3;49.0;59.3;13.9;7.1;6.7;1.2;58.1;105.8;109.2;-3.4;7559.8;91.4;2012-2013
Philadelphia;.509;.481;153.3;24.9;73.4;48.4;61.0;12.5;8.1;7.6;1.1;58.3;102.0;105.7;-3.7;7490.7;91.0;2012-2013
New Orleans;.528;.489;158.7;29.2;74.4;51.4;58.2;14.0;7.1;9.3;1.2;56.8;105.7;110.1;-4.3;7296.6;88.5;2012-2013
Detroit;.521;.487;150.4;28.3;73.0;50.2;58.5;14.3;7.7;8.0;1.2;56.6;103.8;108.1;-4.4;7495.2;90.8;2012-2013
Cleveland;.514;.473;153.5;28.1;72.6;49.3;56.6;13.0;8.5;6.8;1.1;55.6;104.3;109.4;-5.1;7586.1;92.3;2012-2013
Sacramento;.532;.491;157.9;26.6;71.0;48.2;55.3;13.4;8.7;6.7;1.2;57.8;106.2;111.4;-5.2;7737.8;93.7;2012-2013
Phoenix;.512;.477;151.6;27.0;71.9;49.0;60.6;14.3;8.6;8.2;1.1;56.9;101.2;108.1;-6.9;7711.1;93.4;2012-2013
Orlando;.514;.485;153.2;25.4;74.6;50.0;60.5;13.7;7.0;7.0;1.1;57.1;101.6;109.1;-7.5;7597.2;92.2;2012-2013
Charlotte;.507;.460;151.0;25.7;71.1;47.8;56.2;13.2;7.9;9.7;1.2;53.9;101.5;111.5;-10.0;7546.8;91.5;2012-2013
Chicago;.523;.490;154.8;32.6;74.3;53.9;61.9;13.2;7.7;8.7;1.2;64.7;107.4;98.3;9.1;5920.6;89.1;2011-2012
San Antonio;.562;.528;161.9;25.1;76.0;51.1;58.5;12.8;7.9;6.7;1.3;67.1;110.9;103.2;7.7;6169.7;92.9;2011-2012
Oklahoma City;.567;.516;163.5;27.8;72.1;51.4;49.7;15.3;8.0;12.3;1.3;63.5;109.8;103.2;6.5;6197.2;93.0;2011-2012
Miami;.549;.505;160.3;26.6;73.9;51.1;53.8;14.5;9.6;9.0;1.2;60.3;106.6;100.2;6.5;6095.8;91.2;2011-2012
Philadelphia;.511;.480;155.2;24.4;75.2;49.7;58.8;10.9;8.8;8.0;1.1;61.7;103.9;99.2;4.7;5946.7;89.7;2011-2012
Atlanta;.535;.500;156.4;23.9;74.4;49.3;61.0;13.4;8.8;7.2;1.2;60.1;104.9;101.2;3.7;6076.5;90.2;2011-2012
Indiana;.526;.474;158.9;29.2;72.3;50.9;52.2;13.1;8.7;8.8;1.2;57.8;106.7;103.1;3.6;6045.1;90.7;2011-2012
New York;.533;.492;152.1;26.6;73.7;49.9;56.2;14.9;10.1;6.9;1.2;57.3;104.4;101.0;3.4;6187.6;93.2;2011-2012
Denver;.556;.516;154.2;27.7;74.3;51.7;61.5;14.1;8.6;8.1;1.3;65.6;109.2;106.2;3.0;6294.6;94.2;2011-2012
L.A. Clippers;.533;.502;149.1;29.5;73.2;51.1;56.8;12.7;9.4;8.2;1.2;59.8;108.5;105.7;2.8;5931.7;89.2;2011-2012
Boston;.535;.496;160.5;19.7;72.4;47.3;66.5;14.7;8.3;8.7;1.2;57.5;101.0;98.2;2.8;6001.3;90.4;2011-2012
Memphis;.515;.473;153.3;29.8;72.7;50.8;53.2;13.6;10.5;8.8;1.2;57.5;104.0;101.8;2.2;6029.8;90.8;2011-2012
L.A. Lakers;.534;.491;153.9;29.1;74.8;53.0;61.1;14.2;6.4;7.9;1.2;62.2;106.0;104.4;1.6;6060.0;90.5;2011-2012
Dallas;.527;.489;155.4;23.4;74.8;49.3;57.5;13.4;9.2;8.4;1.2;59.6;103.3;102.3;1.0;6119.6;91.4;2011-2012
Orlando;.533;.506;147.6;26.5;75.5;50.7;58.1;14.5;7.6;6.7;1.2;56.9;105.0;104.1;0.9;5921.7;89.0;2011-2012
Utah;.525;.481;153.3;30.2;73.8;51.8;57.0;13.0;8.9;9.5;1.2;60.8;106.8;106.1;0.7;6158.3;91.4;2011-2012
Milwaukee;.521;.481;156.1;27.7;70.9;48.7;62.0;12.9;8.9;8.0;1.2;62.3;105.5;105.2;0.3;6197.0;93.7;2011-2012
Houston;.529;.492;159.1;27.5;73.4;50.2;56.4;13.5;8.1;7.4;1.2;58.5;105.5;105.2;0.2;6137.0;91.7;2011-2012
Phoenix;.536;.499;155.8;25.8;71.7;49.0;59.6;13.3;7.1;8.4;1.2;61.4;106.2;106.5;-0.3;6112.8;92.6;2011-2012
