Team;GP;MPG;PPG;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;ORB;DRB;RPG;APG;SPG;BPG;TOV;PF;Season
Indiana;81;48.4;94.7;35.1;80.6;.436;6.9;19.7;.347;17.6;23.6;.746;12.9;33.0;45.9;20.3;7.2;6.3;15.1;20.0;2012-2013
Orlando;82;48.2;94.1;37.7;84.2;.448;6.2;18.7;.329;12.5;16.6;.755;10.9;31.9;42.7;22.8;6.4;4.4;14.5;19.4;2012-2013
New Orleans;82;48.2;94.1;36.0;80.4;.448;6.5;18.0;.363;15.5;20.0;.776;12.0;29.6;41.6;21.0;6.3;5.4;14.5;20.4;2012-2013
Charlotte;82;48.3;93.4;34.4;81.1;.425;5.7;17.1;.335;18.9;25.1;.750;11.2;29.1;40.3;19.4;7.2;5.8;14.1;19.0;2012-2013
Memphis;82;48.3;93.4;36.1;81.5;.444;4.7;13.5;.345;16.5;21.3;.773;12.9;29.8;42.7;20.9;8.6;5.3;14.0;20.2;2012-2013
Washington;82;48.4;93.2;35.5;81.6;.435;6.6;18.2;.365;15.6;21.3;.733;10.8;32.3;43.2;21.6;7.3;4.6;15.1;20.5;2012-2013
Chicago;82;48.4;93.2;35.7;81.7;.437;5.4;15.4;.353;16.4;21.2;.773;12.5;30.7;43.2;23.0;7.2;5.1;14.3;19.7;2012-2013
Philadelphia;82;48.2;93.2;37.3;84.1;.444;6.3;17.5;.360;12.2;16.8;.729;10.9;30.4;41.3;22.8;7.4;4.7;13.0;18.4;2012-2013
Denver;66;48.6;104.1;39.0;81.9;.476;6.6;19.9;.332;19.6;26.7;.735;11.2;31.9;43.1;24.0;8.2;5.0;15.4;19.7;2011-2012
San Antonio;66;48.3;103.7;39.6;82.8;.478;8.4;21.3;.393;16.2;21.6;.748;10.3;32.6;43.0;23.2;7.4;4.4;13.6;17.3;2011-2012
Oklahoma City;66;48.5;103.1;37.3;79.2;.471;7.2;20.0;.358;21.3;26.4;.806;11.0;32.7;43.7;18.5;7.5;8.2;16.3;20.5;2011-2012
Utah;66;49.0;99.7;38.2;83.8;.456;4.1;12.8;.323;19.1;25.3;.754;13.0;31.1;44.2;21.8;8.3;5.8;14.2;21.8;2011-2012
Milwaukee;66;48.1;99.0;37.9;85.6;.443;6.6;19.2;.345;16.6;21.4;.774;12.4;30.0;42.5;23.5;8.3;5.1;14.1;19.3;2011-2012
Sacramento;66;48.2;98.8;37.7;86.5;.436;6.2;19.7;.316;17.1;23.2;.736;13.4;29.5;42.9;19.3;8.5;4.9;14.4;19.5;2011-2012
Miami;66;48.6;98.5;37.1;79.0;.469;5.6;15.6;.359;18.8;24.2;.775;10.4;31.2;41.6;20.0;8.9;5.4;15.2;19.4;2011-2012
Phoenix;66;48.0;98.4;37.8;82.5;.458;6.7;19.6;.343;16.0;21.2;.757;10.9;30.8;41.7;22.5;6.5;5.5;14.1;18.7;2011-2012
Houston;66;48.7;98.1;37.7;84.0;.449;7.2;20.2;.359;15.4;19.7;.782;11.7;30.5;42.2;21.3;7.5;4.8;14.5;20.4;2011-2012
Minnesota;66;48.3;97.9;35.7;82.3;.433;7.2;21.6;.332;19.4;25.2;.771;12.1;31.7;43.7;19.5;6.6;4.4;15.2;18.4;2011-2012
New York;66;48.3;97.8;35.8;80.8;.443;7.8;23.3;.336;18.3;24.8;.741;11.3;30.5;41.7;20.1;9.4;4.2;16.0;21.1;2011-2012
Golden State;66;48.2;97.8;37.7;82.5;.457;7.9;20.5;.388;14.4;18.7;.770;9.7;29.5;39.2;22.3;8.0;5.5;13.9;21.4;2011-2012
Indiana;66;48.5;97.7;35.7;81.4;.438;5.9;16.1;.368;20.4;26.1;.782;12.5;31.4;43.9;18.6;7.9;5.4;14.0;21.7;2011-2012
L.A. Clippers;66;48.4;97.5;37.0;81.3;.455;7.8;21.8;.357;15.8;23.3;.680;12.1;29.4;41.6;21.0;8.4;4.8;13.3;21.2;2011-2012
L.A. Lakers;66;48.7;97.3;36.8;80.6;.457;5.5;16.8;.326;18.2;24.1;.756;12.1;34.1;46.2;22.5;5.9;5.3;15.1;16.8;2011-2012
Portland;66;48.4;97.2;36.4;82.1;.443;7.2;20.9;.346;17.2;21.6;.796;11.1;29.5;40.7;20.4;8.0;4.9;14.2;19.0;2011-2012
Atlanta;66;49.0;96.6;36.8;81.0;.454;7.5;20.2;.370;15.5;21.0;.740;9.9;31.3;41.2;22.4;8.1;4.6;14.0;17.8;2011-2012
Chicago;66;48.3;96.3;37.4;82.8;.452;6.3;16.9;.375;15.2;21.1;.722;13.9;32.8;46.7;23.1;6.9;5.9;14.0;17.3;2011-2012
Dallas;66;48.7;95.8;36.3;82.0;.443;7.5;22.2;.339;15.6;20.2;.771;10.1;32.7;42.8;20.9;8.6;5.1;14.0;18.6;2011-2012
Memphis;66;48.3;95.0;36.7;82.2;.447;4.2;12.9;.326;17.3;22.8;.759;12.6;29.5;42.0;19.5;9.6;5.2;14.5;19.9;2011-2012
Orlando;66;48.4;94.2;34.5;78.2;.441;10.2;27.0;.375;15.1;22.8;.660;11.2;31.2;42.5;20.0;6.8;4.2;14.9;17.7;2011-2012
Washington;66;48.1;93.6;36.6;83.0;.441;5.2;16.3;.320;15.3;21.0;.727;11.7;29.9;41.7;19.1;8.0;6.3;15.3;21.3;2011-2012
Philadelphia;66;48.2;93.6;37.4;83.6;.448;5.3;14.6;.362;13.5;18.2;.742;10.7;32.5;43.2;22.0;8.0;5.2;11.2;17.5;2011-2012
New Jersey;66;48.2;93.1;34.3;80.6;.425;7.7;22.4;.342;16.9;21.7;.777;11.9;28.5;40.3;19.9;7.5;3.9;15.1;19.2;2011-2012
Cleveland;66;48.4;93.0;34.3;81.2;.422;6.7;19.3;.346;17.8;24.9;.716;12.7;29.5;42.3;19.8;7.1;4.0;15.4;20.0;2011-2012
Boston;66;48.3;91.8;35.5;77.1;.460;5.5;15.0;.367;15.4;19.8;.778;7.7;31.1;38.8;23.6;7.5;5.5;14.8;19.9;2011-2012
Detroit;66;48.4;90.9;34.7;79.3;.438;4.8;13.9;.346;16.6;22.1;.752;11.7;28.5;40.3;18.7;7.0;4.2;15.7;19.6;2011-2012
Toronto;66;48.4;90.7;34.4;78.1;.440;5.5;16.3;.340;16.4;21.4;.770;10.6;31.4;42.0;20.9;6.5;4.9;15.2;23.2;2011-2012
New Orleans;66;48.3;89.6;34.8;77.3;.451;3.9;11.8;.333;16.0;21.2;.757;11.0;30.2;41.1;20.7;7.4;4.8;15.5;20.1;2011-2012
Charlotte;66;48.2;87.0;33.2;80.2;.414;4.0;13.5;.295;16.5;22.2;.746;10.3;28.7;39.0;20.1;6.0;5.5;14.5;18.9;2011-2012
Denver;82;48.1;107.5;38.4;80.6;.476;8.1;20.8;.388;22.7;29.6;.765;9.6;32.3;42.0;22.1;7.4;4.3;14.1;21.0;2010-2011
New York;82;48.2;106.5;38.3;83.7;.457;9.3;25.4;.368;20.6;25.5;.809;10.3;30.1;40.5;21.4;7.6;5.8;13.7;21.3;2010-2011
Houston;82;48.5;105.9;38.7;85.1;.454;8.3;22.5;.367;20.3;25.4;.801;11.7;31.1;42.8;23.8;7.1;4.5;13.5;20.0;2010-2011
Phoenix;82;48.8;105.0;39.3;83.5;.470;8.5;22.6;.377;18.0;23.6;.759;10.0;30.2;40.2;23.7;6.6;4.4;14.3;20.3;2010-2011
Oklahoma City;82;48.8;104.8;37.4;80.6;.464;5.9;17.1;.347;24.1;29.3;.823;11.0;31.8;42.8;20.4;8.0;5.9;14.1;22.4;2010-2011
San Antonio;82;48.2;103.7;38.4;80.8;.475;8.4;21.1;.397;18.5;24.2;.767;10.1;31.7;41.9;22.4;7.3;4.5;13.4;19.0;2010-2011
Golden State;82;48.4;103.4;39.6;85.9;.461;8.4;21.3;.392;15.7;20.7;.761;11.6;28.9;40.5;22.5;9.0;5.0;14.6;22.0;2010-2011
Miami;82;48.2;102.1;37.0;76.8;.481;6.7;18.0;.370;21.5;27.9;.769;9.6;32.5;42.1;20.0;6.6;5.2;13.9;20.4;2010-2011
