Team;GP;MPG;PPG;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;ORB;DRB;RPG;APG;SPG;BPG;TOV;PF;Season
Memphis;82;48.5;102.5;39.3;83.8;.469;4.2;12.4;.337;19.7;26.9;.733;13.0;30.4;43.5;18.8;7.9;4.9;15.2;20.2;2009-2010
Houston;82;48.5;102.4;37.7;84.4;.447;7.9;22.4;.351;19.0;24.7;.772;11.8;30.1;42.0;21.8;7.1;3.9;14.5;20.9;2009-2010
Cleveland;82;48.2;102.1;37.8;77.9;.485;7.3;19.3;.381;19.1;26.6;.720;9.6;32.8;42.5;22.4;6.9;5.2;13.9;19.4;2009-2010
New York;82;48.5;102.1;38.1;83.9;.455;9.1;26.2;.346;16.8;21.5;.782;10.2;30.2;40.4;21.6;7.1;3.7;14.0;20.0;2009-2010
Dallas;82;48.5;102.0;38.3;82.4;.464;6.8;18.3;.372;18.6;22.8;.816;10.2;31.5;41.7;23.4;7.6;5.5;12.9;19.1;2009-2010
L.A. Lakers;82;48.4;101.7;38.3;83.8;.457;6.5;19.0;.341;18.5;24.2;.765;11.9;32.5;44.3;21.1;7.5;4.9;13.4;19.4;2009-2010
Atlanta;82;48.4;101.7;38.8;82.9;.468;6.4;17.7;.360;17.7;23.3;.759;11.8;29.9;41.7;21.8;7.2;5.0;12.0;19.9;2009-2010
Oklahoma City;82;48.3;101.5;37.4;80.8;.462;5.1;15.0;.340;21.7;27.0;.805;11.7;31.8;43.5;20.0;8.0;5.9;15.0;21.3;2009-2010
San Antonio;82;48.2;101.4;38.4;81.2;.473;6.8;18.9;.358;17.8;24.0;.740;10.8;32.0;42.8;22.3;6.3;4.6;13.6;20.4;2009-2010
Indiana;82;48.1;100.8;36.8;83.2;.443;8.0;23.1;.348;19.1;24.6;.775;9.6;31.9;41.5;21.1;7.1;5.4;15.0;22.5;2009-2010
New Orleans;82;48.4;100.2;38.8;83.4;.464;7.0;19.2;.363;15.8;20.3;.778;10.4;29.9;40.3;22.3;7.6;3.7;13.5;19.6;2009-2010
Sacramento;82;48.5;100.0;38.3;84.1;.456;5.9;16.9;.349;17.4;24.0;.726;11.9;30.7;42.6;20.5;6.9;4.5;15.0;22.3;2009-2010
Boston;82;48.2;99.2;37.1;76.8;.483;6.1;17.5;.348;19.0;25.5;.746;8.7;29.9;38.6;23.5;8.5;4.9;14.9;22.1;2009-2010
Minnesota;82;48.2;98.2;37.9;84.4;.449;4.9;14.4;.341;17.5;23.5;.746;11.7;31.2;42.9;19.8;7.3;3.7;16.3;20.7;2009-2010
Portland;82;48.4;98.1;36.3;78.7;.461;6.0;16.9;.354;19.6;24.8;.790;11.1;29.1;40.2;20.4;6.4;4.3;12.3;20.9;2009-2010
Philadelphia;82;48.3;97.7;37.6;81.8;.460;5.8;16.8;.343;16.7;22.0;.756;11.5;29.5;41.0;21.0;8.1;5.4;14.5;20.5;2009-2010
Milwaukee;82;48.7;97.7;37.2;85.3;.436;7.9;22.1;.356;15.4;20.4;.755;11.8;31.2;43.0;21.2;7.1;4.7;13.2;22.2;2009-2010
Chicago;82;48.5;97.5;37.6;83.2;.451;4.3;13.0;.330;18.0;23.9;.754;11.4;33.1;44.5;20.8;6.5;5.8;14.3;20.1;2009-2010
Miami;82;48.5;96.5;36.4;79.5;.458;6.0;17.4;.346;17.7;23.5;.752;10.7;31.1;41.8;18.9;7.4;5.6;13.2;20.9;2009-2010
Washington;82;48.4;96.2;36.7;81.7;.449;5.3;14.9;.353;17.6;23.1;.762;11.8;30.0;41.8;19.0;6.0;5.1;14.9;21.4;2009-2010
L.A. Clippers;82;48.1;95.7;36.6;80.5;.455;5.9;17.8;.332;16.6;22.8;.730;11.3;30.5;41.8;22.1;6.5;5.7;15.7;19.3;2009-2010
Charlotte;82;48.5;95.3;34.9;76.9;.453;5.6;16.2;.346;20.0;26.6;.751;10.5;30.4;40.8;20.2;7.7;5.4;15.7;19.5;2009-2010
Detroit;82;48.2;94.0;35.9;80.5;.445;4.6;14.5;.314;17.7;24.4;.728;12.8;27.3;40.2;19.4;7.3;3.8;13.4;22.2;2009-2010
New Jersey;82;48.2;92.4;34.3;79.9;.429;4.6;14.5;.318;19.2;24.6;.780;10.9;28.8;39.7;18.8;7.0;4.8;14.4;20.0;2009-2010
Phoenix;82;48.2;109.4;41.1;81.6;.504;6.7;17.6;.383;20.4;27.5;.744;11.0;30.7;41.7;23.2;7.2;5.1;15.7;20.6;2008-2009
Golden State;82;48.5;108.6;39.4;86.0;.458;6.7;18.0;.373;23.1;29.2;.791;11.6;30.4;42.0;20.9;7.8;6.4;14.6;22.5;2008-2009
L.A. Lakers;82;48.2;106.9;40.3;85.1;.474;6.7;18.5;.361;19.6;25.5;.770;12.4;31.5;43.9;23.3;8.8;5.1;13.5;20.7;2008-2009
New York;82;48.3;105.2;38.5;86.5;.445;10.0;27.9;.360;18.2;23.2;.784;11.1;31.0;42.1;21.2;7.4;2.5;14.3;20.4;2008-2009
Indiana;82;48.4;105.1;39.3;86.3;.455;8.0;21.0;.378;18.6;23.0;.807;11.3;32.5;43.7;21.6;7.0;5.3;14.5;23.1;2008-2009
Denver;82;48.1;104.3;37.3;79.4;.470;6.7;18.0;.371;23.1;30.3;.760;11.0;30.6;41.6;22.2;8.7;6.0;15.3;22.9;2008-2009
Utah;82;48.5;103.6;38.3;80.8;.475;4.8;13.7;.349;22.1;28.7;.771;11.5;29.5;41.0;24.7;8.8;4.6;14.8;22.3;2008-2009
Chicago;82;48.6;102.2;38.1;83.5;.457;6.0;15.8;.381;19.9;25.0;.796;11.8;30.3;42.1;21.1;7.5;5.5;14.5;20.8;2008-2009
Dallas;82;48.3;101.7;38.1;82.6;.462;7.0;19.9;.350;18.5;22.6;.819;11.1;31.6;42.7;21.7;7.2;5.2;12.7;19.5;2008-2009
Orlando;82;48.1;101.0;35.7;78.2;.457;10.0;26.2;.381;19.6;27.5;.715;10.0;33.3;43.3;19.4;7.0;5.4;13.9;20.3;2008-2009
Boston;82;48.5;100.9;37.5;77.2;.486;6.6;16.5;.397;19.4;25.3;.765;10.6;31.5;42.1;22.7;7.6;4.7;15.6;23.1;2008-2009
Sacramento;82;48.5;100.6;36.5;81.5;.447;7.1;19.4;.368;20.5;25.7;.798;10.2;28.9;39.1;19.7;6.9;4.3;15.4;23.3;2008-2009
Cleveland;82;48.2;100.3;36.9;78.7;.468;8.0;20.4;.393;18.6;24.5;.757;10.8;31.4;42.2;20.3;7.2;5.3;12.8;20.3;2008-2009
Portland;82;48.4;99.4;36.8;79.2;.465;7.3;19.0;.383;18.5;24.2;.765;12.9;28.8;41.7;20.3;6.7;4.9;13.0;20.4;2008-2009
Milwaukee;82;48.2;99.3;36.7;82.4;.445;6.2;17.2;.363;19.7;25.2;.780;11.9;28.9;40.7;22.0;7.4;3.8;14.1;24.2;2008-2009
Toronto;82;48.3;99.0;37.2;81.4;.458;5.8;15.7;.372;18.7;22.7;.824;9.8;30.6;40.4;22.4;6.4;4.8;13.4;19.4;2008-2009
Houston;82;48.3;98.4;36.1;79.6;.453;7.6;20.2;.375;18.7;23.2;.805;10.5;32.5;43.0;20.3;6.7;4.3;14.1;18.9;2008-2009
Miami;82;48.7;98.3;37.0;81.0;.457;7.1;19.9;.357;17.2;22.8;.754;10.1;29.4;39.5;20.4;7.9;5.5;12.5;20.7;2008-2009
Atlanta;82;48.1;98.1;36.0;78.7;.458;7.3;19.9;.366;18.7;25.4;.737;10.6;29.4;40.0;20.2;7.4;4.6;12.8;19.6;2008-2009
New Jersey;82;48.4;98.1;35.7;79.7;.448;8.0;21.2;.376;18.8;24.1;.779;10.4;29.5;39.8;20.0;6.8;4.8;13.1;22.4;2008-2009
Minnesota;82;48.3;97.8;36.4;82.5;.441;6.6;18.8;.353;18.3;23.9;.769;11.9;29.8;41.7;20.4;6.2;3.9;14.2;21.8;2008-2009
Philadelphia;82;48.2;97.4;36.5;79.7;.459;4.2;13.1;.318;20.1;27.0;.745;12.7;28.5;41.2;20.1;8.0;5.1;14.1;20.1;2008-2009
San Antonio;82;48.5;97.0;37.1;79.7;.466;7.6;19.8;.386;15.2;20.0;.761;8.9;32.2;41.0;21.2;5.8;4.0;11.7;18.9;2008-2009
Oklahoma City;82;48.3;97.0;36.6;81.9;.447;4.0;11.6;.346;19.8;25.2;.786;12.2;30.5;42.6;20.3;7.4;4.5;16.2;20.2;2008-2009
Washington;82;48.1;96.1;36.5;81.2;.450;4.8;14.6;.330;18.2;23.8;.767;11.7;28.4;40.1;20.0;7.5;4.5;14.0;20.5;2008-2009
New Orleans;82;48.2;95.8;35.5;77.6;.457;6.8;18.6;.364;18.0;22.4;.807;9.8;29.9;39.7;19.6;7.2;4.1;12.5;20.3;2008-2009
L.A. Clippers;82;48.5;95.1;36.0;81.7;.441;6.5;18.5;.354;16.5;22.4;.736;10.9;29.0;39.8;21.0;7.0;5.9;14.9;20.1;2008-2009
Detroit;82;48.5;94.2;36.4;80.0;.454;4.6;13.2;.349;16.9;22.5;.751;11.6;29.9;41.4;20.6;6.0;4.6;11.9;20.9;2008-2009
Memphis;82;48.3;93.9;34.9;77.0;.454;4.9;13.5;.360;19.1;25.3;.756;10.3;28.5;38.8;17.4;7.5;4.7;15.3;21.7;2008-2009
Charlotte;82;48.6;93.6;35.0;76.8;.455;6.0;16.3;.366;17.7;24.0;.740;10.8;28.9;39.7;21.2;7.1;4.8;15.6;21.4;2008-2009
Golden State;82;48.2;111.0;41.5;90.3;.459;9.3;26.6;.348;18.8;24.9;.752;12.7;30.4;43.2;22.4;9.1;4.6;13.2;22.9;2007-2008
Denver;82;48.4;110.7;40.3;85.8;.470;6.9;19.6;.355;23.1;30.7;.751;11.2;32.9;44.1;24.7;9.2;6.7;14.7;21.1;2007-2008
Phoenix;82;48.2;110.1;41.4;82.7;.500;8.5;21.5;.393;18.9;24.1;.783;8.8;32.7;41.5;26.7;6.5;6.3;14.4;19.9;2007-2008
L.A. Lakers;82;48.2;108.6;39.6;83.1;.476;8.1;21.4;.378;21.3;27.7;.769;11.0;33.2;44.1;24.4;8.0;5.3;14.1;20.6;2007-2008
Utah;82;48.1;106.2;40.0;80.4;.497;5.0;13.4;.372;21.3;28.0;.759;11.5;29.4;40.9;26.4;8.7;4.3;14.6;24.0;2007-2008
Orlando;82;48.2;104.5;37.3;78.6;.474;9.8;25.3;.386;20.1;27.9;.721;9.4;32.6;42.0;20.8;6.3;4.1;14.3;20.6;2007-2008
Indiana;82;48.2;104.0;37.8;85.3;.444;9.2;24.6;.374;19.1;24.9;.768;11.0;32.1;43.1;22.7;7.6;5.0;15.1;23.4;2007-2008
Sacramento;82;48.4;102.5;37.1;80.0;.464;6.2;16.7;.373;22.1;27.7;.798;10.1;30.0;40.1;19.1;7.9;4.1;16.2;22.4;2007-2008
New Orleans;82;48.3;100.9;38.6;82.9;.466;7.7;19.8;.389;16.0;20.8;.769;11.4;30.4;41.8;21.8;7.8;3.9;11.9;18.7;2007-2008
Memphis;82;48.3;100.7;37.3;82.2;.454;7.6;21.7;.349;18.5;25.6;.723;10.3;31.3;41.6;19.2;6.1;4.7;15.2;19.4;2007-2008
Boston;82;48.2;100.5;36.4;76.7;.475;7.3;19.1;.381;20.5;26.5;.771;10.1;31.9;42.0;22.4;8.5;4.6;15.2;22.7;2007-2008
Dallas;82;48.1;100.4;36.9;79.5;.464;6.0;17.1;.352;20.6;25.3;.814;10.8;32.2;43.0;21.0;6.0;4.9;12.7;21.8;2007-2008
Toronto;82;48.4;100.2;38.4;82.0;.468;7.0;17.8;.392;16.4;20.2;.812;9.6;30.4;40.1;23.8;7.0;4.1;11.7;19.5;2007-2008
Washington;82;48.5;98.8;36.4;81.6;.446;7.0;19.7;.356;19.0;24.3;.782;12.3;29.3;41.6;19.6;7.7;4.8;13.2;19.6;2007-2008
Atlanta;82;48.4;98.2;36.3;79.9;.454;4.7;13.1;.356;21.0;27.2;.772;12.3;29.9;42.2;22.0;7.3;5.5;14.9;20.4;2007-2008
Seattle;82;48.4;97.5;38.1;85.8;.444;3.8;11.5;.333;17.5;22.8;.770;11.8;32.8;44.6;21.3;6.5;4.9;16.0;20.5;2007-2008
Detroit;82;48.1;97.5;36.6;79.9;.458;5.9;16.2;.366;18.4;24.0;.767;11.9;29.5;41.4;22.3;7.1;5.8;11.7;20.6;2007-2008
Chicago;82;48.3;97.3;36.4;83.7;.435;5.8;15.9;.363;18.7;24.7;.756;12.8;30.2;43.0;22.1;7.7;5.2;14.6;21.8;2007-2008
Charlotte;82;48.5;97.1;36.1;79.9;.452;6.5;17.6;.367;18.4;25.8;.714;10.9;29.8;40.6;21.3;7.5;4.9;14.7;21.7;2007-2008
Milwaukee;82;48.4;97.0;36.9;82.3;.449;5.5;16.0;.344;17.7;24.1;.733;12.9;28.8;41.7;21.5;6.6;4.4;14.8;21.3;2007-2008
New York;82;48.5;96.9;36.2;82.4;.439;6.0;17.7;.337;18.6;25.5;.727;12.5;30.0;42.5;18.7;6.4;2.6;14.5;21.5;2007-2008
Houston;82;48.1;96.7;36.6;81.7;.448;7.1;20.8;.342;16.4;22.5;.726;12.2;32.4;44.6;21.4;7.3;5.1;13.7;19.6;2007-2008
Philadelphia;82;48.2;96.6;37.3;81.1;.460;3.7;11.6;.317;18.4;26.1;.706;13.0;28.9;41.9;20.4;8.7;4.9;14.3;19.8;2007-2008
Cleveland;82;48.4;96.4;35.8;81.7;.439;6.7;18.8;.358;18.0;25.1;.717;13.3;31.3;44.6;20.0;7.1;5.2;14.0;20.9;2007-2008
New Jersey;82;48.4;95.8;34.8;78.7;.443;6.1;17.4;.348;20.1;27.3;.736;11.1;30.7;41.9;23.5;6.4;4.8;15.0;22.6;2007-2008
Minnesota;82;48.1;95.6;37.5;83.1;.451;5.4;15.4;.350;15.2;20.6;.736;11.8;29.6;41.4;19.9;7.5;3.7;14.5;23.0;2007-2008
San Antonio;82;48.1;95.4;35.8;78.3;.457;7.2;19.6;.369;16.5;21.6;.761;9.4;31.9;41.3;21.0;6.4;4.1;12.6;18.7;2007-2008
Portland;82;48.5;95.4;35.8;79.8;.448;6.6;17.4;.377;17.2;22.5;.767;11.0;29.7;40.7;21.1;5.5;4.4;12.9;20.0;2007-2008
L.A. Clippers;82;48.3;93.8;34.4;78.6;.438;4.3;13.2;.324;20.8;26.6;.781;9.8;30.4;40.1;21.1;6.8;4.9;14.4;21.3;2007-2008
Miami;82;48.4;91.4;34.2;77.3;.443;6.0;16.7;.358;16.9;23.2;.727;9.1;28.6;37.6;20.0;7.2;4.3;14.7;20.4;2007-2008
Phoenix;82;48.5;110.2;41.3;83.6;.494;9.6;24.0;.399;18.0;22.3;.808;9.0;31.5;40.5;25.9;6.7;4.8;14.5;20.2;2006-2007
Golden State;82;48.2;106.5;39.8;86.0;.463;8.5;24.0;.356;18.5;25.8;.717;11.5;30.0;41.4;23.8;9.1;5.7;16.0;23.6;2006-2007
Denver;82;48.2;105.4;38.6;83.0;.465;5.9;17.6;.336;22.3;29.9;.746;12.2;31.2;43.4;23.4;8.3;5.3;16.5;21.4;2006-2007
Washington;82;48.4;104.3;37.4;83.2;.450;6.8;19.7;.348;22.6;29.6;.765;12.2;29.0;41.2;20.2;7.7;4.6;13.8;22.2;2006-2007
L.A. Lakers;82;48.9;103.3;37.8;81.3;.466;7.4;21.0;.353;20.2;27.1;.747;10.8;30.4;41.2;22.6;7.3;5.1;15.5;23.0;2006-2007
Memphis;82;48.7;101.6;36.6;78.6;.465;6.1;16.6;.367;22.4;29.4;.761;10.6;29.0;39.5;20.5;6.9;5.0;16.4;22.3;2006-2007
Utah;82;48.3;101.5;37.4;78.9;.474;4.3;12.9;.335;22.3;30.0;.743;12.6;30.0;42.5;24.7;7.0;4.1;15.6;25.2;2006-2007
Sacramento;82;48.3;101.3;35.9;79.7;.450;6.5;18.5;.350;23.1;30.2;.765;9.7;29.2;38.9;20.3;8.2;3.2;14.6;21.9;2006-2007
Dallas;82;48.2;100.0;36.7;78.6;.467;6.5;17.1;.381;20.1;24.9;.805;11.2;30.7;41.9;19.9;6.8;5.0;13.9;22.4;2006-2007
Milwaukee;82;48.4;99.7;38.1;81.9;.465;6.4;18.0;.356;17.1;23.4;.733;11.5;27.7;39.2;21.6;7.2;2.7;15.2;22.2;2006-2007
Toronto;82;48.2;99.5;37.0;79.8;.463;6.5;17.9;.363;19.0;24.2;.788;9.2;30.2;39.5;22.2;7.1;3.9;13.5;20.4;2006-2007
Seattle;82;48.4;99.1;37.2;80.8;.460;6.4;17.7;.362;18.4;23.3;.791;11.3;28.3;39.6;20.7;7.7;3.7;15.5;22.0;2006-2007
Chicago;82;48.2;98.8;37.1;81.3;.457;5.9;15.1;.388;18.6;25.4;.734;12.0;31.7;43.7;22.3;7.8;5.4;16.0;23.3;2006-2007
San Antonio;82;48.2;98.5;36.6;77.2;.474;7.3;19.0;.381;18.1;24.1;.751;9.3;31.4;40.7;22.1;7.2;5.1;13.9;19.4;2006-2007
New Jersey;82;48.5;97.6;35.5;77.8;.457;7.4;20.4;.363;19.1;26.3;.727;10.0;30.8;40.8;23.9;6.1;3.3;14.8;22.8;2006-2007
New York;82;48.8;97.5;35.4;77.5;.457;5.8;16.7;.346;20.9;29.2;.715;12.6;30.7;43.3;18.7;6.6;3.2;17.1;23.6;2006-2007
Houston;82;48.4;97.0;35.4;79.6;.445;8.6;23.1;.372;17.5;23.2;.753;10.7;32.6;43.3;20.8;7.1;4.1;14.2;20.9;2006-2007
Charlotte;82;48.8;96.9;36.1;81.0;.446;5.6;15.6;.357;19.1;26.0;.734;11.2;28.6;39.8;22.4;7.8;4.5;14.9;24.2;2006-2007
Cleveland;82;48.5;96.8;36.3;81.2;.447;6.0;17.1;.352;18.1;26.0;.696;12.7;30.8;43.5;20.8;7.6;4.3;14.4;21.7;2006-2007
Minnesota;82;48.8;96.1;36.5;79.3;.461;4.7;13.3;.353;18.3;23.1;.792;10.0;30.2;40.2;22.5;6.5;4.0;15.6;21.4;2006-2007
Detroit;82;48.5;96.0;35.9;79.1;.454;5.5;15.9;.344;18.8;24.2;.774;11.6;29.0;40.5;21.6;7.1;5.8;12.2;20.4;2006-2007
Boston;82;48.4;95.8;34.9;78.7;.443;5.7;15.6;.367;20.4;26.6;.767;11.2;29.2;40.4;19.9;7.2;4.7;16.7;24.0;2006-2007
L.A. Clippers;82;48.1;95.6;35.1;77.0;.456;3.8;11.0;.348;21.6;27.4;.788;10.8;30.3;41.1;21.5;7.3;5.8;15.1;22.7;2006-2007
Indiana;82;48.2;95.6;35.0;80.0;.438;5.9;16.9;.346;19.7;25.9;.760;12.1;29.8;41.8;20.5;7.3;5.5;16.3;23.3;2006-2007
New Orleans;82;48.5;95.5;36.2;81.4;.445;5.5;15.3;.362;17.5;23.7;.740;12.5;30.6;43.1;18.7;6.4;4.2;14.5;19.8;2006-2007
Philadelphia;82;48.5;94.9;35.8;78.1;.458;3.5;10.0;.345;20.0;26.0;.767;11.0;28.7;39.7;20.4;7.2;4.8;15.3;20.4;2006-2007
Orlando;82;48.2;94.8;35.1;74.3;.472;4.2;11.7;.356;20.5;29.2;.702;11.2;29.5;40.7;18.6;6.9;5.1;17.0;23.2;2006-2007
Miami;82;48.4;94.6;35.6;76.7;.464;6.4;18.8;.343;17.0;24.6;.690;10.0;30.8;40.8;20.5;6.9;5.4;14.6;21.3;2006-2007
Portland;82;48.7;94.1;35.0;78.0;.450;5.2;15.0;.346;18.8;24.5;.769;11.3;28.0;39.3;18.5;6.8;4.6;15.1;23.5;2006-2007
Atlanta;82;48.5;93.7;34.5;77.7;.444;4.2;12.7;.329;20.5;26.9;.761;11.9;28.2;40.1;19.2;7.4;5.4;15.9;24.0;2006-2007
Phoenix;82;48.7;108.4;41.8;87.4;.479;10.2;25.6;.399;14.5;18.0;.806;9.5;32.3;41.8;26.6;6.7;5.0;12.9;20.5;2005-2006
Seattle;82;48.4;102.6;37.5;81.8;.459;7.4;19.9;.371;20.1;25.7;.785;12.4;27.2;39.6;20.7;7.6;3.7;14.2;23.6;2005-2006
Washington;82;48.4;101.7;36.3;81.2;.447;6.1;17.0;.357;23.0;30.4;.757;12.6;28.6;41.2;18.6;8.0;4.1;13.6;22.6;2005-2006
Toronto;82;48.7;101.1;36.7;81.0;.454;7.4;19.8;.375;20.2;25.5;.791;10.5;27.9;38.5;19.4;6.5;3.3;12.7;24.0;2005-2006
Denver;82;48.6;100.3;37.5;81.4;.461;4.3;13.1;.325;21.0;28.2;.744;11.0;30.3;41.3;23.4;8.5;5.6;14.5;22.7;2005-2006
Miami;82;48.2;99.9;37.1;77.5;.478;6.1;17.6;.345;19.7;28.2;.700;10.5;32.6;43.1;20.6;6.4;5.4;14.0;22.8;2005-2006
L.A. Lakers;82;48.4;99.4;36.5;80.6;.453;6.7;19.3;.349;19.7;26.5;.745;11.8;30.3;42.2;21.1;7.7;4.3;13.5;23.1;2005-2006
Philadelphia;82;48.5;99.4;36.6;79.8;.458;4.6;12.6;.364;21.6;28.4;.760;10.6;29.6;40.2;20.2;7.9;4.9;13.8;20.9;2005-2006
Dallas;82;48.5;99.1;36.0;77.7;.462;5.1;13.6;.374;22.2;28.3;.783;12.6;29.6;42.2;18.0;7.2;6.0;13.1;22.4;2005-2006
Sacramento;82;48.4;98.9;36.0;79.3;.454;6.0;17.2;.351;20.8;26.5;.784;10.4;30.2;40.5;22.3;7.4;3.6;14.2;20.4;2005-2006
Golden State;82;48.4;98.5;35.8;82.7;.433;7.6;22.3;.341;19.2;26.7;.718;12.0;30.3;42.3;20.7;7.4;4.4;13.8;23.7;2005-2006
Boston;82;48.5;98.0;36.0;77.1;.467;5.7;15.7;.362;20.3;26.9;.755;9.9;29.7;39.6;20.9;7.0;5.1;16.2;24.8;2005-2006
Milwaukee;82;48.4;97.8;36.3;80.1;.453;6.2;16.3;.380;19.0;25.8;.738;11.3;29.9;41.2;21.6;7.3;3.3;14.2;23.2;2005-2006
Chicago;82;48.5;97.8;36.6;82.2;.446;6.8;18.0;.379;17.7;24.0;.738;11.0;31.7;42.8;22.0;6.2;4.2;14.7;24.9;2005-2006
Cleveland;82;48.4;97.6;35.5;78.2;.454;6.1;17.9;.339;20.6;28.3;.729;11.7;30.6;42.3;19.0;6.9;4.8;13.8;21.1;2005-2006
Atlanta;82;48.5;97.2;35.9;79.2;.454;5.2;14.1;.367;20.2;26.9;.750;13.0;27.2;40.3;19.8;7.2;4.8;15.3;25.0;2005-2006
L.A. Clippers;82;48.3;97.2;36.5;78.6;.465;3.5;10.3;.344;20.7;26.1;.791;10.1;33.0;43.1;20.8;6.5;6.1;14.0;22.8;2005-2006
Charlotte;82;48.6;96.9;36.1;83.5;.433;5.2;15.4;.339;19.4;26.7;.729;12.1;27.7;39.8;20.9;10.0;4.3;13.8;23.9;2005-2006
Detroit;82;48.4;96.8;36.4;80.0;.455;6.8;17.7;.384;17.3;23.8;.727;11.9;28.6;40.5;24.0;7.1;6.0;11.0;18.5;2005-2006
New York;82;48.6;95.6;34.4;75.7;.455;3.9;10.8;.362;22.9;31.5;.726;12.6;28.8;41.4;17.9;6.8;3.3;17.3;26.3;2005-2006
San Antonio;82;48.3;95.6;36.5;77.3;.472;6.4;16.6;.385;16.2;23.1;.702;10.4;31.1;41.5;20.9;6.6;5.7;13.4;20.9;2005-2006
Orlando;82;48.5;94.9;35.5;75.2;.472;3.6;9.7;.376;20.3;27.8;.730;10.9;29.3;40.2;18.2;6.5;4.4;14.6;23.3;2005-2006
Indiana;82;48.1;93.9;34.0;76.5;.444;6.5;18.7;.349;19.4;26.3;.737;11.0;31.2;42.2;19.9;7.3;5.0;14.9;22.2;2005-2006
New Jersey;82;48.2;93.8;33.9;77.0;.440;5.8;17.6;.330;20.2;26.7;.758;10.0;31.0;41.0;23.0;6.8;3.4;13.2;23.2;2005-2006
New Orleans;82;48.3;92.8;34.5;78.4;.440;3.7;10.8;.339;20.1;26.5;.758;11.2;29.0;40.2;18.5;7.5;3.8;13.2;21.8;2005-2006
Utah;82;48.5;92.4;33.5;75.7;.442;3.8;11.3;.336;21.6;30.1;.719;13.1;29.0;42.1;21.6;6.4;6.0;15.1;24.8;2005-2006
Memphis;82;48.4;92.2;33.5;74.7;.448;7.2;19.2;.374;18.0;25.3;.711;10.2;29.0;39.2;19.3;7.3;5.4;13.2;21.4;2005-2006
Minnesota;82;48.4;91.7;35.2;77.3;.456;3.8;11.5;.329;17.5;23.1;.758;9.9;29.5;39.4;20.9;6.8;5.7;14.0;23.0;2005-2006
Houston;82;48.4;90.1;33.0;76.2;.433;5.7;17.2;.332;18.3;24.1;.759;10.4;31.3;41.6;19.3;7.2;3.9;14.0;22.7;2005-2006
Portland;82;48.1;88.8;34.0;76.4;.445;4.4;12.7;.349;16.3;23.7;.689;10.8;26.9;37.7;18.2;6.5;5.3;14.0;22.3;2005-2006
Phoenix;82;48.2;110.4;40.9;85.6;.477;9.7;24.7;.393;19.0;25.4;.748;11.8;32.3;44.1;23.5;7.0;5.5;13.7;19.1;2004-2005
Sacramento;82;48.4;103.7;39.1;85.1;.459;6.4;17.0;.374;19.2;24.4;.787;12.5;29.9;42.4;24.5;8.2;3.9;13.0;20.5;2004-2005
Dallas;82;48.1;102.5;37.3;81.6;.457;5.6;15.5;.364;22.3;28.2;.789;12.1;30.9;42.9;19.6;8.6;5.6;13.5;22.3;2004-2005
Miami;82;48.7;101.5;37.8;77.7;.486;5.8;15.4;.377;20.2;30.1;.672;10.8;32.2;43.0;21.8;6.4;5.8;13.7;22.1;2004-2005
Boston;82;48.5;101.3;37.1;79.4;.468;5.3;15.3;.349;21.6;28.3;.764;11.1;29.7;40.8;22.1;8.1;5.2;15.8;24.4;2004-2005
Washington;82;48.2;100.5;36.2;82.9;.437;6.3;18.3;.343;21.9;30.2;.725;13.8;29.0;42.8;19.1;8.7;4.2;14.3;22.0;2004-2005
Toronto;82;48.3;99.7;36.0;81.2;.444;7.9;20.5;.385;19.8;25.6;.774;10.3;29.8;40.1;20.4;7.6;3.9;13.3;22.9;2004-2005
Denver;82;48.2;99.5;37.0;80.7;.459;3.9;11.5;.340;21.5;28.2;.763;11.8;30.2;42.0;23.9;9.1;6.0;15.0;22.9;2004-2005
Orlando;82;48.1;99.5;37.0;81.5;.454;3.9;11.2;.349;21.6;28.5;.759;12.7;31.0;43.7;19.3;7.7;5.4;16.1;23.6;2004-2005
Philadelphia;82;48.4;99.1;35.9;82.1;.437;6.2;17.7;.348;21.1;26.8;.789;11.1;30.9;42.0;20.9;9.2;3.9;15.5;22.9;2004-2005
Seattle;82;48.2;98.9;35.1;79.2;.444;8.1;22.2;.365;20.5;26.0;.790;12.7;28.2;40.9;18.1;6.7;4.1;13.5;23.7;2004-2005
L.A. Lakers;82;48.2;98.7;35.3;80.8;.437;7.9;22.1;.355;20.3;26.1;.777;12.5;30.6;43.2;20.4;6.2;4.2;14.3;21.9;2004-2005
Golden State;82;48.5;98.7;36.9;85.8;.430;7.6;21.6;.352;17.2;23.8;.722;13.0;29.7;42.7;22.1;7.8;5.1;13.6;22.4;2004-2005
New York;82;48.5;97.3;36.3;80.5;.451;5.4;15.1;.356;19.3;25.1;.767;11.8;29.2;41.0;20.3;7.7;3.2;14.6;23.7;2004-2005
Milwaukee;82;48.2;97.2;36.1;80.2;.450;4.0;11.3;.351;21.0;27.2;.772;12.0;29.3;41.3;21.0;6.5;3.5;13.8;21.9;2004-2005
Minnesota;82;48.2;96.8;37.1;80.8;.459;4.8;14.0;.345;17.7;22.2;.796;11.5;31.5;43.0;23.4;5.6;5.5;13.2;21.6;2004-2005
