index,Variable,Tipo,Categorías,Intervalo
74,FT%/DIFF,Numérico,NaN,"[-11.4, 10.1]"
75,OR/DIFF,Numérico,NaN,"[-4.2, 4.1]"
76,DR/DIFF,Numérico,NaN,"[-5.4, 6.6]"
77,REB/DIFF,Numérico,NaN,"[-9.6, 8.4]"
78,AST/DIFF,Numérico,NaN,"[-6.6, 7.7]"
79,STL/DIFF,Numérico,NaN,"[-2.5, 3.4]"
80,BLK/DIFF,Numérico,NaN,"[-3.2, 3.8]"
81,TO/DIFF,Numérico,NaN,"[-4.6, 4.1]"
82,PF/DIFF,Numérico,NaN,"[-5.2, 4.8]"
83,PTS/ OPP,Numérico,NaN,"[-7.0, 123.1]"
84,FGM/ OPP,Numérico,NaN,"[-3.6, 46.1]"
85,FGA/ OPP,Numérico,NaN,"[-2.5, 94.0]"
86,FG%/ OPP,Numérico,NaN,"[-3.6, 50.7]"
87,3PM/ OPP,Numérico,NaN,"[-2.2, 14.8]"
88,3PA/ OPP,Numérico,NaN,"[-5.1, 40.6]"
89,3P%/ OPP,Numérico,NaN,"[-5.6, 41.1]"
90,FTM/ OPP,Numérico,NaN,"[-4.1, 24.7]"
91,FTA/ OPP,Numérico,NaN,"[-5.6, 32.4]"
92,FT%/ OPP,Numérico,NaN,"[-6.3, 80.7]"
93,OR/ OPP,Numérico,NaN,"[-2.6, 15.0]"
94,DR/ OPP,Numérico,NaN,"[-2.9, 37.7]"
95,REB/ OPP,Numérico,NaN,"[-5.4, 49.0]"
96,AST/ OPP,Numérico,NaN,"[-5.2, 27.1]"
97,STL/ OPP,Numérico,NaN,"[-1.8, 9.9]"
98,BLK/ OPP,Numérico,NaN,"[-1.7, 6.9]"
99,TO/ OPP,Numérico,NaN,"[-2.9, 18.6]"
100,PF/ OPP,Numérico,NaN,"[-3.5, 25.7]"
101,Start_Year,Numérico,NaN,"[1946, 2022]"
102,Year_Diff,Numérico,NaN,"[0.0, 1.0]"
