Team;Dbl Dbl;Tpl Dbl;40 Pts;20 Reb;20 Ast;5 Stl;5 Blk;High Game;MOV;Techs;HOB;Ast/TO;Stl/TO;FT/FGA;W's;L's;Win %;Season
L.A. Clippers;57;2;3;0;0;3;2;153;0.0;25;1.599;1.7;0.5;.178;42;40;.512;2021-2022
Memphis;54;3;6;1;0;2;9;152;5.7;34;1.597;2.0;0.7;.180;56;26;.683;2021-2022
Oklahoma City;50;6;0;2;0;0;2;134;-8.1;4;1.580;1.6;0.5;.169;24;58;.293;2021-2022
Detroit;47;4;2;0;0;6;0;134;-7.7;34;1.615;1.7;0.5;.194;23;59;.280;2021-2022
Golden State;38;3;8;0;0;6;1;138;5.5;32;1.669;1.8;0.6;.181;53;29;.646;2021-2022
Atlanta;104;5;4;6;0;3;6;141;2.3;23;1.591;1.8;0.5;.226;41;31;.569;2020-2021
Milwaukee;86;8;5;0;0;1;2;144;5.9;17;1.569;1.8;0.6;.177;46;26;.639;2020-2021
Indiana;85;14;0;2;0;5;15;152;0.0;16;1.633;2.0;0.6;.180;34;38;.472;2020-2021
Denver;82;17;6;1;0;3;0;139;4.9;15;1.621;2.0;0.6;.176;47;25;.653;2020-2021
Memphis;78;2;1;4;0;3;2;139;1.0;33;1.628;2.0;0.7;.179;38;34;.528;2020-2021
Washington;78;38;11;2;3;1;1;154;-1.8;36;1.590;1.8;0.5;.221;34;38;.472;2020-2021
Philadelphia;75;5;6;0;0;7;0;141;5.6;43;1.572;1.6;0.6;.225;49;23;.681;2020-2021
L.A. Lakers;74;7;2;0;0;0;2;138;2.8;35;1.607;1.6;0.5;.200;42;30;.583;2020-2021
Brooklyn;73;14;11;1;0;2;1;147;4.5;26;1.621;2.0;0.5;.208;48;24;.667;2020-2021
Portland;72;1;7;4;0;2;2;141;1.8;26;1.515;1.9;0.6;.195;42;30;.583;2020-2021
Phoenix;70;2;2;0;0;1;2;140;5.8;32;1.622;2.1;0.6;.177;51;21;.708;2020-2021
Miami;68;6;1;0;0;4;1;134;0.0;11;1.671;1.9;0.6;.199;40;32;.556;2020-2021
Sacramento;66;5;3;0;0;5;5;141;-3.7;21;1.599;1.9;0.6;.185;31;41;.431;2020-2021
Utah;66;6;7;6;0;0;8;154;9.3;33;1.573;1.7;0.5;.195;52;20;.722;2020-2021
New Orleans;64;3;0;1;0;3;1;144;-0.3;22;1.612;1.8;0.5;.214;31;41;.431;2020-2021
Houston;64;2;2;0;0;2;0;143;-7.9;28;1.601;1.6;0.5;.187;17;55;.236;2020-2021
Cleveland;62;3;1;3;0;1;2;147;-8.4;17;1.618;1.5;0.5;.194;22;50;.306;2020-2021
New York;60;7;3;0;0;2;6;140;2.3;22;1.543;1.7;0.5;.190;41;31;.569;2020-2021
Toronto;58;4;4;0;0;5;5;144;-0.5;35;1.607;1.8;0.6;.196;27;45;.375;2020-2021
Minnesota;57;0;3;0;0;6;1;137;-5.6;15;1.630;1.8;0.6;.193;23;49;.319;2020-2021
San Antonio;56;5;0;1;0;2;2;146;-1.7;13;1.584;2.1;0.6;.192;33;39;.458;2020-2021
Charlotte;56;1;5;0;0;2;2;135;-1.9;19;1.672;1.8;0.5;.181;33;39;.458;2020-2021
Chicago;54;2;5;0;0;4;0;133;-0.9;17;1.635;1.8;0.4;.156;31;41;.431;2020-2021
Orlando;54;3;2;0;0;1;0;130;-9.3;26;1.570;1.7;0.5;.186;21;51;.292;2020-2021
Dallas;49;13;5;0;1;1;1;143;2.3;37;1.557;1.9;0.5;.189;42;30;.583;2020-2021
L.A. Clippers;48;1;0;0;0;3;2;138;6.2;16;1.584;1.8;0.5;.186;47;25;.653;2020-2021
Boston;43;1;7;0;0;4;2;145;1.5;22;1.566;1.7;0.5;.181;36;36;.500;2020-2021
Detroit;41;3;1;2;0;2;0;132;-4.5;18;1.626;1.6;0.5;.207;20;52;.278;2020-2021
Oklahoma City;41;2;2;1;0;4;3;129;-10.6;7;1.568;1.4;0.4;.176;22;50;.306;2020-2021
Golden State;41;6;13;0;0;2;2;147;1.1;33;1.670;1.8;0.5;.188;39;33;.542;2020-2021
L.A. Lakers;97;17;6;1;0;3;13;142;5.8;33;1.600;1.7;0.6;.201;52;19;.732;2019-2020
Houston;90;16;27;8;0;4;4;159;3.0;34;1.530;1.5;0.6;.228;44;28;.611;2019-2020
Portland;88;15;13;8;0;2;16;140;-1.1;41;1.488;1.6;0.5;.194;35;39;.473;2019-2020
