Team;Dbl Dbl;Tpl Dbl;40 Pts;20 Reb;20 Ast;5 Stl;5 Blk;High Game;MOV;Techs;HOB;Ast/TO;Stl/TO;FT/FGA;W's;L's;Win %;Season
Charlotte;47;3;2;0;0;4;3;130;2.7;15;1.586;1.7;0.6;.222;48;34;.585;2015-2016
L.A. Clippers;113;4;3;13;0;5;5;127;6.6;62;1.629;2.0;0.6;.215;56;26;.683;2014-2015
Detroit;113;9;0;13;2;1;7;128;-1.0;22;1.582;1.6;0.6;.184;32;50;.390;2014-2015
Chicago;103;5;1;1;0;3;10;129;3.0;23;1.593;1.6;0.4;.238;50;32;.610;2014-2015
Oklahoma City;102;14;11;2;0;5;10;138;2.2;49;1.528;1.4;0.5;.214;45;37;.549;2014-2015
Cleveland;99;3;5;0;0;5;1;129;4.5;25;1.587;1.5;0.5;.216;53;29;.646;2014-2015
Denver;90;1;2;1;0;1;2;143;-3.5;22;1.577;1.5;0.5;.204;30;52;.366;2014-2015
New Orleans;90;14;3;0;0;3;16;139;0.8;13;1.581;1.7;0.5;.198;45;37;.549;2014-2015
Houston;83;7;10;0;0;10;3;127;3.4;41;1.600;1.3;0.6;.223;56;26;.683;2014-2015
Orlando;82;3;0;1;0;6;1;121;-5.7;15;1.550;1.4;0.5;.168;25;57;.305;2014-2015
Washington;76;1;0;1;0;3;0;133;0.7;21;1.627;1.6;0.5;.192;46;36;.561;2014-2015
Utah;74;5;0;3;0;1;9;118;0.2;16;1.563;1.3;0.5;.214;38;44;.463;2014-2015
San Antonio;71;4;0;0;0;6;6;130;6.2;6;1.623;1.7;0.6;.200;55;27;.671;2014-2015
Minnesota;69;3;1;0;0;7;4;121;-8.8;13;1.593;1.4;0.5;.240;16;66;.195;2014-2015
Memphis;69;1;0;2;0;5;2;122;3.2;30;1.574;1.6;0.6;.214;55;27;.671;2014-2015
Portland;68;1;2;0;0;1;3;130;4.2;26;1.567;1.6;0.5;.180;51;31;.622;2014-2015
Sacramento;68;3;1;6;0;2;1;135;-3.7;40;1.554;1.3;0.4;.276;29;53;.354;2014-2015
Golden State;66;3;7;1;0;9;6;136;10.1;21;1.659;1.9;0.6;.184;67;15;.817;2014-2015
Charlotte;60;1;1;0;0;1;4;122;-3.2;32;1.568;1.7;0.5;.202;33;49;.402;2014-2015
Brooklyn;59;1;0;0;0;0;4;129;-2.9;15;1.559;1.5;0.5;.200;38;44;.463;2014-2015
Dallas;59;1;0;3;0;5;2;144;2.9;27;1.567;1.7;0.6;.197;50;32;.610;2014-2015
Philadelphia;58;8;0;0;0;13;9;118;-9.0;14;1.609;1.2;0.5;.195;18;64;.220;2014-2015
Phoenix;57;5;0;0;0;9;8;134;-0.9;54;1.522;1.3;0.6;.191;39;43;.476;2014-2015
L.A. Lakers;57;2;1;1;0;2;0;129;-6.8;15;1.562;1.6;0.5;.204;21;61;.256;2014-2015
Miami;56;9;2;4;0;4;11;119;-2.6;26;1.564;1.3;0.5;.227;37;45;.451;2014-2015
Toronto;54;4;1;0;0;3;1;127;3.1;34;1.547;1.6;0.6;.232;49;33;.598;2014-2015
Atlanta;54;1;0;0;0;3;0;131;5.4;20;1.676;1.8;0.6;.201;60;22;.732;2014-2015
Indiana;52;4;0;0;0;1;7;118;0.3;27;1.586;1.5;0.4;.201;38;44;.463;2014-2015
Milwaukee;48;3;0;1;0;9;7;127;0.4;37;1.627;1.4;0.6;.195;41;41;.500;2014-2015
Boston;47;6;0;0;0;4;0;132;0.2;11;1.629;1.8;0.6;.176;40;42;.488;2014-2015
New York;33;0;1;0;0;4;3;129;-9.3;18;1.606;1.4;0.5;.180;17;65;.207;2014-2015
L.A. Clippers;133;13;3;7;0;6;11;142;7.0;52;1.628;1.8;0.6;.258;57;25;.695;2013-2014
Detroit;131;6;0;7;0;6;7;126;-3.7;48;1.539;1.4;0.6;.199;29;53;.354;2013-2014
Minnesota;125;10;7;2;0;17;2;143;2.7;17;1.616;1.7;0.6;.249;40;42;.488;2013-2014
Chicago;104;9;0;1;0;5;6;128;1.9;39;1.654;1.5;0.5;.226;48;34;.585;2013-2014
Houston;103;8;2;7;0;5;5;145;4.6;28;1.563;1.3;0.5;.275;54;28;.659;2013-2014
Portland;100;5;2;3;0;1;6;139;4.0;29;1.594;1.7;0.4;.220;54;28;.659;2013-2014
Denver;96;1;0;5;0;1;2;137;-2.1;29;1.584;1.4;0.5;.222;36;46;.439;2013-2014
Washington;90;7;1;0;0;6;2;134;1.3;13;1.601;1.6;0.6;.181;44;38;.537;2013-2014
Golden State;90;6;4;1;0;4;2;130;4.8;30;1.591;1.5;0.5;.186;51;31;.622;2013-2014
Sacramento;86;4;2;1;0;3;3;124;-2.9;47;1.511;1.2;0.5;.251;28;54;.341;2013-2014
L.A. Lakers;84;2;3;0;0;5;3;130;-6.3;16;1.639;1.6;0.5;.199;27;55;.329;2013-2014
Cleveland;83;3;3;3;0;4;1;127;-3.3;14;1.572;1.5;0.5;.201;33;49;.402;2013-2014
Oklahoma City;80;11;14;1;0;9;12;131;6.3;53;1.562;1.4;0.5;.244;59;23;.720;2013-2014
Memphis;77;0;0;1;0;3;1;120;1.6;18;1.574;1.6;0.6;.184;50;32;.610;2013-2014
New Orleans;76;10;2;2;0;2;17;135;-2.7;20;1.563;1.5;0.6;.220;34;48;.415;2013-2014
Orlando;74;1;1;3;0;5;2;129;-5.4;20;1.571;1.4;0.5;.193;23;59;.280;2013-2014
Utah;73;3;0;0;0;2;2;136;-7.2;4;1.564;1.4;0.5;.202;25;57;.305;2013-2014
Philadelphia;72;7;0;0;0;14;2;126;-10.5;25;1.576;1.3;0.6;.190;19;63;.232;2013-2014
Atlanta;72;2;0;0;0;6;4;127;-0.5;10;1.667;1.6;0.5;.208;38;44;.463;2013-2014
Toronto;69;3;2;1;0;2;1;129;3.2;38;1.581;1.5;0.5;.239;48;34;.585;2013-2014
Indiana;67;9;1;0;0;4;14;119;4.4;43;1.560;1.3;0.4;.226;56;26;.683;2013-2014
Boston;61;3;0;1;0;1;1;120;-4.5;16;1.576;1.4;0.5;.193;25;57;.305;2013-2014
New York;61;1;5;3;0;4;4;125;-0.8;42;1.542;1.5;0.6;.189;37;45;.451;2013-2014
Charlotte;58;1;1;1;0;1;1;124;-0.2;16;1.597;1.8;0.5;.219;43;39;.524;2013-2014
San Antonio;53;1;0;1;0;3;2;133;7.7;11;1.621;1.7;0.5;.188;62;20;.756;2013-2014
Phoenix;48;1;2;1;0;4;1;129;2.6;49;1.493;1.2;0.5;.222;48;34;.585;2013-2014
Milwaukee;43;1;0;0;0;0;7;130;-8.2;32;1.596;1.4;0.4;.204;15;67;.183;2013-2014
Dallas;36;1;1;0;0;3;1;128;2.4;22;1.596;1.7;0.6;.201;49;33;.598;2013-2014
Brooklyn;31;0;0;0;0;5;3;130;-1.0;26;1.585;1.4;0.6;.236;44;38;.537;2013-2014
Miami;30;1;3;0;0;5;3;124;4.8;22;1.588;1.5;0.6;.228;54;28;.659;2013-2014
L.A. Lakers;115;9;8;5;0;8;8;122;1.2;42;1.598;1.5;0.5;.239;45;37;.549;2012-2013
Chicago;106;6;0;4;0;5;7;118;0.3;46;1.645;1.6;0.5;.201;45;37;.549;2012-2013
Milwaukee;103;11;0;2;0;15;19;131;-1.5;36;1.600;1.6;0.6;.174;38;44;.463;2012-2013
Atlanta;101;4;0;1;0;1;6;126;0.4;29;1.651;1.6;0.5;.174;44;38;.537;2012-2013
Portland;98;5;0;2;0;3;4;136;-3.2;16;1.593;1.5;0.4;.194;33;49;.402;2012-2013
Golden State;94;1;2;2;0;3;1;127;0.9;20;1.589;1.5;0.5;.201;47;35;.573;2012-2013
Orlando;91;0;0;4;0;1;0;119;-7.0;22;1.605;1.6;0.4;.149;20;62;.244;2012-2013
Memphis;89;2;0;1;0;6;5;113;4.1;31;1.579;1.5;0.6;.202;56;26;.683;2012-2013
Minnesota;85;6;0;1;0;12;1;117;-2.4;30;1.624;1.5;0.6;.226;31;51;.378;2012-2013
Indiana;84;9;0;0;0;6;13;125;4.0;46;1.578;1.3;0.5;.219;49;32;.605;2012-2013
New Orleans;82;4;0;1;0;0;8;114;-3.9;10;1.582;1.4;0.4;.193;27;55;.329;2012-2013
Philadelphia;82;7;0;1;0;7;3;117;-3.3;20;1.610;1.7;0.6;.146;34;48;.415;2012-2013
San Antonio;82;8;0;1;0;5;12;134;6.4;16;1.641;1.7;0.6;.204;58;24;.707;2012-2013
L.A. Clippers;80;6;0;1;0;12;3;129;6.5;67;1.620;1.6;0.7;.203;56;26;.683;2012-2013
Denver;78;1;0;1;0;10;7;132;5.1;20;1.600;1.6;0.6;.216;57;25;.695;2012-2013
Oklahoma City;76;8;6;0;0;4;19;127;9.2;64;1.561;1.4;0.5;.280;60;22;.732;2012-2013
Houston;71;1;2;2;0;8;2;140;3.5;12;1.609;1.4;0.5;.232;45;37;.549;2012-2013
Phoenix;70;7;0;0;0;5;8;121;-6.5;46;1.606;1.5;0.5;.174;25;57;.305;2012-2013
Utah;69;4;1;1;0;2;5;140;-0.1;23;1.610;1.5;0.6;.214;43;39;.524;2012-2013
Detroit;67;3;0;0;0;0;4;119;-4.0;16;1.585;1.4;0.5;.197;29;53;.354;2012-2013
Cleveland;65;0;2;2;0;1;0;122;-4.7;17;1.566;1.5;0.6;.200;24;58;.293;2012-2013
Miami;64;4;2;0;0;8;0;141;7.9;25;1.600;1.7;0.6;.224;66;16;.805;2012-2013
Sacramento;62;2;0;2;0;3;3;131;-4.9;44;1.553;1.4;0.6;.208;28;54;.341;2012-2013
Boston;62;9;2;0;2;2;2;120;-0.2;23;1.614;1.6;0.6;.204;41;40;.506;2012-2013
Brooklyn;60;2;1;10;0;4;4;119;1.8;25;1.567;1.4;0.5;.219;49;33;.598;2012-2013
Toronto;59;3;0;1;0;4;3;133;-1.5;38;1.592;1.6;0.5;.216;34;48;.415;2012-2013
Washington;57;1;1;0;0;0;0;127;-2.5;23;1.610;1.4;0.5;.191;29;53;.354;2012-2013
New York;47;0;8;4;0;4;1;125;4.2;55;1.527;1.6;0.7;.196;54;28;.659;2012-2013
Dallas;42;0;1;1;0;2;4;127;-0.6;32;1.599;1.7;0.6;.192;41;41;.500;2012-2013
Charlotte;38;2;0;0;0;5;4;119;-9.2;22;1.562;1.4;0.5;.233;21;61;.256;2012-2013
Minnesota;100;3;3;3;0;4;3;140;-2.2;13;1.548;1.3;0.4;.236;26;40;.394;2011-2012
L.A. Lakers;94;1;5;3;0;1;3;120;1.4;44;1.611;1.5;0.4;.226;41;25;.621;2011-2012
L.A. Clippers;80;4;0;1;0;6;5;120;2.6;52;1.568;1.6;0.6;.195;40;26;.606;2011-2012
Orlando;71;3;1;11;0;3;3;119;0.8;37;1.581;1.3;0.5;.193;37;29;.561;2011-2012
Phoenix;71;1;0;0;0;0;1;125;-0.2;32;1.596;1.6;0.5;.194;33;33;.500;2011-2012
Utah;70;4;0;1;0;4;3;133;0.6;17;1.570;1.5;0.6;.227;36;30;.545;2011-2012
Chicago;70;1;0;0;0;1;4;121;8.2;17;1.619;1.7;0.5;.184;50;16;.758;2011-2012
Sacramento;67;2;1;2;0;6;0;120;-5.7;27;1.510;1.3;0.6;.197;22;44;.333;2011-2012
Memphis;63;4;0;0;0;8;4;128;2.0;23;1.532;1.4;0.7;.211;41;25;.621;2011-2012
New York;61;2;2;0;0;8;1;121;3.2;40;1.562;1.3;0.6;.227;36;30;.545;2011-2012
New Jersey;60;1;2;1;1;1;0;122;-6.0;21;1.580;1.3;0.5;.209;22;44;.333;2011-2012
Boston;58;10;1;0;2;4;6;115;2.5;34;1.665;1.6;0.5;.200;39;27;.591;2011-2012
Denver;57;0;0;0;0;4;1;131;2.9;20;1.615;1.6;0.5;.239;38;28;.576;2011-2012
Atlanta;57;1;0;1;0;8;2;139;3.4;26;1.610;1.6;0.6;.192;40;26;.606;2011-2012
San Antonio;52;3;1;0;0;3;2;128;7.2;7;1.585;1.7;0.5;.195;50;16;.758;2011-2012
Milwaukee;52;1;0;1;0;4;1;121;0.3;30;1.620;1.7;0.6;.194;31;35;.470;2011-2012
Oklahoma City;51;5;7;1;0;4;22;149;6.1;46;1.497;1.1;0.5;.269;47;19;.712;2011-2012
Washington;49;6;0;0;0;6;7;124;-4.8;23;1.523;1.3;0.5;.184;20;46;.303;2011-2012
New Orleans;48;2;0;0;0;1;3;108;-3.8;18;1.595;1.3;0.5;.207;21;45;.318;2011-2012
Houston;47;3;0;0;0;0;5;114;0.2;12;1.564;1.5;0.5;.184;34;32;.515;2011-2012
Golden State;47;3;1;0;0;3;1;120;-3.4;13;1.591;1.6;0.6;.175;23;43;.348;2011-2012
Miami;45;2;2;0;0;7;2;129;6.0;19;1.538;1.3;0.6;.238;46;20;.697;2011-2012
Indiana;45;1;0;0;0;3;2;125;3.3;26;1.522;1.3;0.6;.251;42;24;.636;2011-2012
Portland;41;1;0;4;0;5;3;137;-0.6;24;1.562;1.4;0.6;.209;28;38;.424;2011-2012
Philadelphia;40;2;0;0;0;6;1;120;4.2;9;1.588;2.0;0.7;.161;35;31;.530;2011-2012
Toronto;39;1;0;0;0;1;3;116;-3.3;22;1.609;1.4;0.4;.211;23;43;.348;2011-2012
Detroit;39;0;1;1;0;1;0;124;-4.8;19;1.538;1.2;0.4;.210;25;41;.379;2011-2012
Cleveland;38;0;0;1;0;0;0;118;-7.2;4;1.579;1.3;0.5;.220;21;45;.318;2011-2012
Dallas;31;0;2;0;0;4;2;122;1.0;27;1.575;1.5;0.6;.190;36;30;.545;2011-2012
Charlotte;28;2;0;0;0;0;7;118;-13.9;25;1.605;1.4;0.4;.206;7;59;.106;2011-2012
L.A. Lakers;102;6;3;4;0;0;7;139;6.1;50;1.576;1.7;0.6;.228;57;25;.695;2010-2011
L.A. Clippers;97;3;2;1;0;5;5;127;-3.1;47;1.601;1.3;0.4;.234;32;50;.390;2010-2011
Chicago;97;2;3;1;0;4;9;132;7.3;22;1.601;1.6;0.5;.227;62;20;.756;2010-2011
Utah;96;3;2;0;0;3;5;131;-1.8;34;1.627;1.6;0.5;.241;39;43;.476;2010-2011
Memphis;95;2;0;5;0;11;3;120;2.3;22;1.528;1.5;0.7;.218;46;36;.561;2010-2011
Phoenix;94;0;0;0;1;3;1;137;-0.9;40;1.604;1.7;0.5;.215;40;42;.488;2010-2011
Minnesota;93;3;2;13;0;3;5;129;-6.6;27;1.534;1.2;0.4;.217;17;65;.207;2010-2011
Washington;91;9;1;0;0;4;12;136;-7.4;32;1.522;1.3;0.5;.216;23;59;.280;2010-2011
Orlando;91;9;2;8;0;4;10;128;5.5;51;1.553;1.3;0.4;.227;52;30;.634;2010-2011
New Orleans;90;9;0;0;0;17;4;121;0.9;25;1.574;1.6;0.6;.226;46;36;.561;2010-2011
New York;88;7;3;0;0;3;9;131;0.8;46;1.560;1.6;0.6;.246;42;40;.512;2010-2011
Atlanta;85;1;0;1;0;3;6;119;-0.8;30;1.607;1.6;0.4;.209;44;38;.537;2010-2011
Boston;84;8;0;0;2;8;2;122;5.4;47;1.635;1.6;0.6;.235;56;26;.683;2010-2011
Miami;83;7;8;0;0;2;5;129;7.5;46;1.541;1.4;0.5;.279;58;24;.707;2010-2011
Sacramento;81;0;1;0;0;5;4;133;-5.3;38;1.534;1.3;0.5;.208;24;58;.293;2010-2011
Portland;77;2;3;2;0;5;5;113;1.5;23;1.588;1.6;0.6;.224;48;34;.585;2010-2011
Oklahoma City;75;5;6;0;0;5;9;126;3.8;33;1.545;1.4;0.6;.299;55;27;.671;2010-2011
Milwaukee;70;7;0;3;0;5;10;116;-0.8;19;1.549;1.4;0.6;.217;35;47;.427;2010-2011
Cleveland;70;2;0;1;0;3;3;126;-9.0;26;1.596;1.5;0.5;.233;19;63;.232;2010-2011
Dallas;67;2;1;0;0;2;3;127;4.2;33;1.637;1.7;0.5;.222;57;25;.695;2010-2011
Golden State;67;1;4;3;0;6;2;138;-2.3;21;1.568;1.5;0.6;.183;36;46;.439;2010-2011
New Jersey;66;2;0;2;1;0;4;137;-6.2;10;1.590;1.5;0.4;.215;24;58;.293;2010-2011
San Antonio;65;5;0;0;0;3;5;125;5.7;11;1.583;1.7;0.5;.229;61;21;.744;2010-2011
Philadelphia;64;7;0;0;0;1;4;125;1.5;14;1.596;1.8;0.6;.210;41;41;.500;2010-2011
Houston;54;6;2;0;0;4;0;131;2.2;24;1.617;1.8;0.5;.239;43;39;.524;2010-2011
Toronto;53;0;1;2;0;0;3;136;-6.3;20;1.571;1.5;0.5;.221;22;60;.268;2010-2011
Denver;50;1;2;1;0;3;5;138;4.8;53;1.576;1.6;0.5;.281;50;32;.610;2010-2011
Charlotte;50;3;0;1;0;1;4;123;-4.0;47;1.601;1.4;0.4;.237;34;48;.415;2010-2011
Indiana;46;1;0;0;0;2;5;144;-1.1;24;1.536;1.3;0.5;.235;37;45;.451;2010-2011
Detroit;44;1;0;0;0;2;0;120;-3.6;34;1.566;1.6;0.6;.206;30;52;.366;2010-2011
Utah;131;2;1;3;0;5;3;140;5.3;19;1.678;1.8;0.5;.252;53;29;.646;2009-2010
L.A. Lakers;106;5;8;5;0;11;6;131;4.7;44;1.550;1.6;0.6;.221;57;25;.695;2009-2010
Phoenix;105;0;2;1;2;1;3;152;4.9;29;1.573;1.6;0.4;.240;54;28;.659;2009-2010
Memphis;101;1;2;3;0;4;2;135;-1.5;18;1.479;1.2;0.5;.235;40;42;.488;2009-2010
L.A. Clippers;93;6;0;7;0;8;6;120;-6.4;23;1.603;1.4;0.4;.206;29;53;.354;2009-2010
New Orleans;92;6;2;0;1;6;4;135;-2.5;12;1.575;1.7;0.6;.189;37;45;.451;2009-2010
Orlando;85;11;1;9;0;2;13;126;7.5;43;1.537;1.4;0.4;.246;59;23;.720;2009-2010
Minnesota;83;1;0;2;0;2;2;117;-9.6;9;1.524;1.2;0.4;.207;15;67;.183;2009-2010
Washington;82;4;1;3;0;4;9;123;-4.8;21;1.518;1.3;0.4;.216;26;56;.317;2009-2010
Atlanta;82;5;1;0;0;4;6;146;4.7;21;1.562;1.8;0.6;.213;53;29;.646;2009-2010
Dallas;81;6;4;2;0;5;5;130;2.7;28;1.611;1.8;0.6;.226;55;27;.671;2009-2010
Oklahoma City;77;3;8;0;0;3;2;139;3.5;13;1.535;1.3;0.5;.268;50;32;.610;2009-2010
Chicago;77;2;0;5;0;5;5;122;-1.6;27;1.553;1.5;0.5;.217;41;41;.500;2009-2010
New York;76;1;3;3;0;2;0;132;-3.8;10;1.567;1.5;0.5;.200;29;53;.354;2009-2010
Miami;75;0;4;0;0;4;5;115;2.3;28;1.519;1.4;0.6;.223;47;35;.573;2009-2010
Boston;74;7;0;0;0;11;2;122;3.7;52;1.635;1.6;0.6;.248;50;32;.610;2009-2010
Indiana;72;1;1;0;0;1;8;133;-3.0;19;1.573;1.4;0.5;.229;32;50;.390;2009-2010
Cleveland;71;7;9;0;0;5;2;126;6.5;32;1.592;1.6;0.5;.246;61;21;.744;2009-2010
Toronto;70;1;2;0;0;1;1;131;-1.8;26;1.564;1.6;0.4;.244;40;42;.488;2009-2010
Milwaukee;67;7;1;1;0;1;8;129;1.7;15;1.570;1.6;0.5;.181;46;36;.561;2009-2010
Sacramento;66;3;1;0;0;1;2;127;-4.4;20;1.534;1.4;0.5;.207;25;57;.305;2009-2010
Houston;64;4;2;1;0;3;5;127;-0.4;19;1.579;1.5;0.5;.225;42;40;.512;2009-2010
New Jersey;64;5;0;1;0;1;3;127;-9.1;8;1.547;1.3;0.5;.240;12;70;.146;2009-2010
Denver;64;0;8;0;0;5;4;135;4.1;35;1.550;1.5;0.6;.290;53;29;.646;2009-2010
Charlotte;63;3;1;3;0;4;8;125;1.5;32;1.580;1.3;0.5;.260;44;38;.537;2009-2010
Golden State;62;4;5;1;0;16;6;146;-3.6;21;1.552;1.5;0.6;.230;26;56;.317;2009-2010
San Antonio;61;0;1;4;0;1;1;147;5.1;16;1.581;1.6;0.5;.219;50;32;.610;2009-2010
Philadelphia;59;4;0;2;0;4;8;141;-3.9;11;1.558;1.4;0.6;.204;27;55;.329;2009-2010
Portland;55;0;4;1;0;0;3;122;3.3;26;1.563;1.7;0.5;.249;50;32;.610;2009-2010
Detroit;33;0;0;1;1;1;0;124;-5.1;29;1.541;1.4;0.5;.220;27;55;.329;2009-2010
Utah;131;1;1;0;1;7;2;129;2.6;21;1.644;1.7;0.6;.274;48;34;.585;2008-2009
New York;105;4;1;2;1;5;0;138;-2.6;35;1.551;1.5;0.5;.210;32;50;.390;2008-2009
New Orleans;105;12;4;1;1;12;0;117;1.5;44;1.553;1.6;0.6;.232;49;33;.598;2008-2009
Toronto;97;0;2;0;0;2;6;134;-2.8;29;1.601;1.7;0.5;.230;33;49;.402;2008-2009
Phoenix;93;1;4;1;1;7;0;154;1.9;48;1.565;1.5;0.5;.250;46;36;.561;2008-2009
L.A. Lakers;88;4;5;1;0;6;3;132;7.7;42;1.577;1.7;0.7;.230;65;17;.793;2008-2009
Orlando;85;15;1;10;0;6;16;139;6.7;43;1.544;1.4;0.5;.251;59;23;.720;2008-2009
Charlotte;82;4;0;1;0;7;4;117;-1.3;24;1.607;1.4;0.5;.231;35;47;.427;2008-2009
L.A. Clippers;82;5;1;5;2;3;8;140;-8.8;24;1.583;1.4;0.5;.202;19;63;.232;2008-2009
Houston;82;3;0;0;0;2;5;131;4.0;22;1.562;1.4;0.5;.235;53;29;.646;2008-2009
Indiana;78;0;3;2;0;2;3;130;-1.1;26;1.551;1.5;0.5;.215;36;46;.439;2008-2009
Minnesota;75;0;0;1;0;0;1;129;-4.9;19;1.561;1.4;0.4;.222;24;58;.293;2008-2009
Miami;74;2;13;0;0;9;4;140;0.3;32;1.551;1.6;0.6;.212;43;39;.524;2008-2009
Golden State;72;4;3;2;0;6;12;144;-3.7;37;1.530;1.4;0.5;.268;29;53;.354;2008-2009
Dallas;72;3;4;0;1;4;2;140;2.0;22;1.569;1.7;0.6;.224;50;32;.610;2008-2009
Washington;71;1;0;0;0;1;2;124;-7.5;14;1.548;1.4;0.5;.224;19;63;.232;2008-2009
San Antonio;70;4;2;0;0;2;3;133;3.8;13;1.571;1.8;0.5;.191;54;28;.659;2008-2009
Boston;70;5;0;1;0;4;7;128;7.5;49;1.606;1.5;0.5;.251;62;20;.756;2008-2009
Denver;67;5;4;0;0;8;12;135;3.4;67;1.595;1.4;0.6;.290;54;28;.659;2008-2009
Chicago;63;1;1;1;0;2;4;129;-0.3;31;1.554;1.5;0.5;.239;41;41;.500;2008-2009
Oklahoma City;63;1;3;0;0;5;0;126;-6.1;10;1.555;1.2;0.5;.242;23;59;.280;2008-2009
Atlanta;62;5;1;1;0;3;7;129;1.6;37;1.561;1.6;0.6;.238;47;35;.573;2008-2009
Detroit;61;2;1;2;0;2;2;126;-0.5;39;1.567;1.7;0.5;.212;39;43;.476;2008-2009
Cleveland;58;7;11;0;0;3;2;126;8.9;37;1.550;1.6;0.6;.236;66;16;.805;2008-2009
Milwaukee;58;4;2;2;0;5;0;133;-1.1;21;1.599;1.6;0.5;.239;34;48;.415;2008-2009
New Jersey;56;2;4;1;0;1;3;129;-2.4;16;1.559;1.5;0.5;.236;34;48;.415;2008-2009
Philadelphia;56;3;0;2;0;6;4;125;0.1;17;1.550;1.4;0.6;.253;41;41;.500;2008-2009
Sacramento;56;1;2;1;0;1;3;141;-8.8;37;1.541;1.3;0.5;.252;17;65;.207;2008-2009
Portland;55;1;1;0;0;1;3;129;5.3;25;1.552;1.6;0.5;.234;54;28;.659;2008-2009
Memphis;45;0;0;0;0;1;4;118;-5.5;15;1.497;1.1;0.5;.249;24;58;.293;2008-2009
Utah;141;2;2;0;2;8;2;133;6.9;18;1.660;1.8;0.6;.265;54;28;.659;2007-2008
Phoenix;134;7;2;2;1;7;8;137;5.0;39;1.645;1.8;0.4;.228;55;27;.671;2007-2008
New Orleans;132;9;4;4;2;11;2;132;5.3;32;1.564;1.8;0.7;.193;56;26;.683;2007-2008
L.A. Lakers;102;3;7;2;0;2;7;134;7.3;46;1.617;1.7;0.6;.256;57;25;.695;2007-2008
Denver;98;18;5;9;0;7;29;168;3.7;57;1.612;1.7;0.6;.269;50;32;.610;2007-2008
Washington;91;8;2;1;0;6;8;120;-0.3;25;1.538;1.5;0.6;.233;43;39;.524;2007-2008
Atlanta;88;5;0;2;0;3;17;127;-1.8;20;1.606;1.5;0.5;.263;37;45;.451;2007-2008
Charlotte;88;3;2;2;0;3;3;121;-4.4;20;1.591;1.5;0.5;.230;32;50;.390;2007-2008
Cleveland;88;12;8;0;0;7;2;132;-0.4;22;1.558;1.4;0.5;.221;45;37;.549;2007-2008
Orlando;87;9;0;11;0;1;8;123;5.5;24;1.558;1.5;0.4;.256;52;30;.634;2007-2008
Golden State;76;7;2;1;0;13;3;140;2.2;35;1.539;1.7;0.7;.208;48;34;.585;2007-2008
San Antonio;75;1;2;0;0;5;2;128;4.8;20;1.585;1.7;0.5;.210;56;26;.683;2007-2008
Minnesota;75;1;2;3;0;2;2;131;-6.8;24;1.530;1.4;0.5;.183;22;60;.268;2007-2008
New York;71;0;2;1;0;2;0;123;-6.6;15;1.516;1.3;0.4;.226;23;59;.280;2007-2008
L.A. Clippers;70;7;0;5;0;4;10;120;-7.3;36;1.614;1.5;0.5;.264;23;59;.280;2007-2008
Toronto;68;1;4;0;0;1;3;127;2.9;8;1.620;2.0;0.6;.200;41;41;.500;2007-2008
Memphis;67;2;1;0;0;2;4;130;-6.2;12;1.514;1.3;0.4;.225;22;60;.268;2007-2008
Sacramento;66;2;2;2;0;12;0;132;-2.3;34;1.515;1.2;0.5;.276;38;44;.463;2007-2008
New Jersey;65;15;0;0;0;4;3;125;-5.1;27;1.674;1.6;0.4;.255;34;48;.415;2007-2008
Houston;63;3;4;0;0;1;5;117;4.7;26;1.585;1.6;0.5;.200;55;27;.671;2007-2008
Milwaukee;63;3;2;1;1;1;3;135;-6.9;26;1.582;1.5;0.4;.215;26;56;.317;2007-2008
Philadelphia;61;6;0;2;0;5;11;124;0.4;18;1.547;1.4;0.6;.227;40;42;.488;2007-2008
Seattle;61;1;2;1;0;0;2;151;-8.8;11;1.559;1.3;0.4;.204;20;62;.244;2007-2008
Indiana;59;2;0;0;0;2;6;132;-1.4;32;1.601;1.5;0.5;.224;36;46;.439;2007-2008
Dallas;58;4;1;1;0;3;6;125;4.5;39;1.569;1.7;0.5;.259;51;31;.622;2007-2008
Boston;57;0;0;2;0;3;3;119;10.3;47;1.614;1.5;0.6;.267;66;16;.805;2007-2008
Chicago;56;2;0;2;0;5;2;151;-3.1;26;1.606;1.5;0.5;.223;33;49;.402;2007-2008
Miami;53;2;3;0;0;5;2;117;-8.6;16;1.585;1.4;0.5;.218;15;67;.183;2007-2008
Detroit;53;1;0;0;0;4;4;136;7.4;34;1.611;1.9;0.6;.230;59;23;.720;2007-2008
Portland;47;3;0;1;0;0;4;120;-1.0;17;1.590;1.6;0.4;.216;41;41;.500;2007-2008
Phoenix;156;6;5;4;2;5;5;161;7.3;37;1.626;1.8;0.5;.215;61;21;.744;2006-2007
Utah;118;1;1;2;1;3;5;130;2.9;24;1.659;1.6;0.5;.283;51;31;.622;2006-2007
Denver;93;11;3;5;1;6;20;140;1.6;47;1.607;1.4;0.5;.268;45;37;.549;2006-2007
New Orleans;91;1;1;5;0;4;3;125;-1.6;40;1.517;1.3;0.4;.215;39;43;.476;2006-2007
Charlotte;85;14;2;3;0;8;13;133;-3.7;42;1.620;1.5;0.5;.236;33;49;.402;2006-2007
Minnesota;85;9;2;2;0;3;5;121;-3.7;36;1.617;1.4;0.4;.231;32;50;.390;2006-2007
Golden State;81;7;0;0;0;11;6;135;-0.3;28;1.598;1.5;0.6;.215;42;40;.512;2006-2007
