Team;Total MIN;EFG%;FTA RATE;TOV%;OREB%;OPP EFG%;OPP FTA RATE;OPP TOV%;OPP OREB%;Season
Dallas;3461;55.0;0.242;12.3;25.3;53.4;0.259;12.9;26.6;2020-2021
L.A. Lakers;3491;53.6;0.271;15.2;26.9;52.6;0.237;15.2;25.2;2020-2021
Portland;3461;54.0;0.238;11.2;27.3;54.6;0.258;12.5;26.9;2020-2021
Atlanta ;3481;53.9;0.278;13.3;28.4;53.0;0.237;12.4;25.8;2020-2021
New York;3486;52.4;0.242;13.3;26.4;50.9;0.257;13.1;26.2;2020-2021
Miami;3476;54.6;0.252;14.4;24.0;54.2;0.234;15.4;26.7;2020-2021
Golden State;3461;55.1;0.239;14.6;22.2;52.2;0.286;14.6;27.3;2020-2021
Memphis;3481;52.8;0.232;13.1;28.5;53.5;0.249;14.6;26.4;2020-2021
Boston;3476;54.3;0.234;14.1;28.9;53.9;0.273;14.2;26.3;2020-2021
Indiana;3491;54.2;0.227;13.1;24.7;53.1;0.258;14.4;29.9;2020-2021
Washington;3481;53.1;0.288;13.7;25.0;53.9;0.277;13.9;26.4;2020-2021
Charlotte;3471;53.2;0.238;14.9;27.6;55.0;0.219;14.8;27.8;2020-2021
San Antonio;3496;51.7;0.243;11.3;24.3;54.1;0.230;13.1;26.7;2020-2021
Chicago;3476;54.7;0.197;15.1;26.7;53.8;0.253;12.7;23.3;2020-2021
New Orleans;3486;53.7;0.293;14.4;30.2;55.0;0.236;13.2;24.5;2020-2021
Sacramento;3461;54.9;0.248;13.3;25.3;55.7;0.253;13.6;28.7;2020-2021
Toronto;3461;52.9;0.241;13.3;25.6;54.3;0.293;16.2;28.4;2020-2021
Minnesota;3481;52.0;0.254;13.9;27.1;55.6;0.264;14.9;28.3;2020-2021
Cleveland;3486;50.8;0.261;15.7;28.0;55.6;0.235;14.5;27.1;2020-2021
Oklahoma City;3471;50.9;0.242;15.8;25.4;54.7;0.216;12.8;25.8;2020-2021
Orlando;3466;49.0;0.240;12.9;25.2;54.7;0.215;12.8;25.6;2020-2021
Detroit;3486;51.9;0.273;15.1;26.7;54.1;0.257;14.1;27.5;2020-2021
Houston;3461;52.1;0.252;14.5;24.0;55.5;0.256;14.4;27.7;2020-2021
Milwaukee  ;3519;55.2;0.271;14.2;24.1;48.9;0.226;13.3;22.5;2019-2020
Toronto;3476;53.6;0.264;14.6;25.6;50.2;0.263;16.5;27.9;2019-2020
L.A. Lakers;3418;54.2;0.276;14.9;28.3;51.5;0.263;15.7;26.3;2019-2020
L.A. Clippers;3476;53.5;0.295;14.2;27.8;50.6;0.272;13.7;26.3;2019-2020
Boston;3486;53.1;0.259;13.7;28.3;50.9;0.281;15.1;26.9;2019-2020
Denver;3549;53.5;0.235;13.9;29.4;53.3;0.260;14.4;27.5;2019-2020
Indiana;3524;53.4;0.216;13.2;24.3;51.1;0.244;14.7;28.2;2019-2020
Houston;3476;53.7;0.288;14.0;24.9;52.9;0.259;15.4;28.7;2019-2020
Miami;3549;54.7;0.299;14.9;25.7;52.3;0.272;14.0;24.7;2019-2020
Oklahoma City;3486;53.0;0.290;13.7;24.1;51.8;0.218;14.2;27.2;2019-2020
Utah;3471;54.9;0.268;15.2;26.1;51.8;0.241;12.4;25.4;2019-2020
